Time,Px_mean,Py_mean,Pz_mean,Px_min,Px_max,Px_std,Px_var,Py_min,Py_max,Py_std,Py_var,Pz_min,Pz_max,Pz_std,Pz_var,absPx_mean,absPy_mean,absPz_mean,absP_mean,qdiff_absmax,strain,stress_raw,stress_sm,stress_trend,delta_sigma_serr,delta_sigma_serr_sm,S_rms,A_sigma,A_sigma_norm,onset_sigma,W_mech_proxy,align_method,P_parallel,O_parallel,Pmag_mean,Pvec_norm,chi_parallel,chi_vec,eta_perp,P_parallel_sm,O_parallel_sm,chi_parallel_sm,chi_vec_sm,eta_perp_sm,P_parallel_abs_sm,O_parallel_rel,chi_parallel_rel,chi_parallel_delta,PE_total,KE_total,ETOT,energy_align_method,dPE,dKE,dETOT,dPE_sm,ddPE_de,dKE_sm,ddKE_de,dETOT_sm,ddETOT_de,A_dPE_down,A_dPE_up,A_dPE_down_norm,A_dPE_up_norm,onset_dPE_down,onset_dPE_up,A_dETOT_down,A_dETOT_up,A_dETOT_down_norm,A_dETOT_up_norm,onset_dETOT_down,onset_dETOT_up,e_min_dPE,e_min_dETOT,dPE_min,dETOT_min,e_zero_dPE,e_zero_dETOT,dataset
570000.0,-0.0485,0.0797,-0.00414,-0.194,0.191,0.146,0.0212,-0.0525,0.126,0.0231,0.000534,-0.209,0.2,0.165,0.0271,0.152,0.0812,0.164,0.24,0.0,0.01135098,0.985430358261456,0.9979042216411402,0.9781926842011746,0.007237674060281418,0.018912672412979354,0.023461558918623768,8.476205183216871e-05,0.4701714002400112,0.00445098,0.004624811946805335,time,0.0797,0.0812,0.24,0.09338886229096058,0.9815270935839713,0.3891202595440477,0.7955689828781582,0.0750724941724944,0.08029184149184174,0.9320289774350028,0.3730621765508299,0.7976199170154359,0.0750724941724944,0.6153455883619361,5.031735719135357,0.7467988641193279,-231098.370198753,7.92900519667099,-231090.441193556,time,0.21921856101835147,0.07029406945548988,0.2895126309886109,0.2553745956624026,862.4049833452735,0.10249483909440388,-5.607990506861752,0.3578694350581778,856.796992826724,2.767421659134703,3.8286044394666625,1.0,0.23410510196919915,0.0003509799999999,0.0083509799999999,2.755869039441445,3.8408300422501345,1.0,0.23490687908344912,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
580000.0,-0.0485,0.0834,-0.00505,-0.201,0.183,0.145,0.021,0.015,0.121,0.0126,0.00016,-0.208,0.203,0.165,0.0273,0.152,0.0834,0.165,0.24,0.0,0.01155098,1.05536204236339,1.044875709895094,1.0095868099821428,0.045775232381247255,0.04299719279372727,0.022424440296848244,8.936122491821907e-05,0.49568281251794993,0.00445098,0.004829416918787933,time,0.0834,0.0834,0.24,0.09660907048512578,0.9999999999880095,0.40253779368634685,0.7917082917063145,0.07918694638694662,0.08073240093240117,0.9806040095995852,0.3870504678872279,0.7969353243582538,0.07918694638694662,0.6187219750921743,5.293977269900577,0.7953738962839103,-231098.434085056,8.02200906675164,-231090.412075989,time,0.1553322580002714,0.16329793953613958,0.3186301979876589,0.39506521732782424,895.1538231299693,0.11078277010023456,-5.801536316484105,0.5058479877429258,889.352286798949,2.767421659134703,4.004360320114187,1.0,0.24485192865532365,0.0003509799999999,0.0083509799999999,2.755869039441445,4.015444970212703,1.0,0.2455864059872321,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
590000.0,-0.0484,0.0812,-0.0036,-0.197,0.191,0.145,0.021,0.0363,0.12,0.013,0.000169,-0.205,0.207,0.166,0.0275,0.152,0.0812,0.165,0.24,0.0,0.01175098,1.05647822065624,1.071555323179464,1.039529509476837,0.016948711179402887,0.023999048712988084,0.020089846317465937,9.361336893860406e-05,0.5192692697222322,0.00445098,0.0050414088876655685,time,0.0812,0.0812,0.24,0.09459894291164145,0.9999999999876846,0.394162262130197,0.7960823706660068,0.08049370629370653,0.08014219114219137,1.005117221095997,0.39180844554088523,0.7984261621609876,0.08049370629370653,0.6141986887424582,5.426316504906624,0.8198871077803223,-231098.074478471,7.89068520528012,-231090.183793266,time,0.5149388429999817,0.03197407806462049,0.5469129209814128,0.5576329328741038,928.7474944094362,0.11057180470523534,-5.540949826446842,0.668204737877437,923.2065445670236,2.767421659134703,4.186750451868126,1.0,0.2560044154341301,0.0003509799999999,0.0083509799999999,2.755869039441445,4.196700853349299,1.0,0.25667209667251634,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
600000.0,-0.0485,0.0796,-0.00446,-0.199,0.191,0.146,0.0214,0.0365,0.119,0.0121,0.000147,-0.214,0.209,0.166,0.0275,0.153,0.0796,0.165,0.24,0.0,0.0119509799999999,1.0819985290612,1.0764458072070942,1.0675181481209475,0.014480380940252502,0.010949277173003277,0.01954472324599465,9.754597484439438e-05,0.5410832629580099,0.00445098,0.0052559614462761835,time,0.0796,0.0796,0.24,0.09331828116719681,0.9999999999874372,0.3888261715283666,0.7997987927545277,0.080159906759907,0.0790655011655014,1.0142731991811187,0.3906621913775049,0.8009648053625462,0.080159906759907,0.6059470854054366,5.475746794189384,0.8290430858654438,-231097.904299451,7.95848728262115,-231089.945812168,time,0.6851178630022332,0.09977615540565044,0.7848940189869609,0.7398443345511887,963.3050803142276,0.10328348355150953,-5.016201033034759,0.8431278184469875,958.2888792639617,2.767421659134703,4.375955709340397,1.0,0.2675736221239246,0.0003509799999999,0.0083509799999999,2.755869039441445,4.384850395732303,1.0,0.26817940663311995,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
610000.0,-0.0488,0.0753,-0.00439,-0.201,0.19,0.147,0.0215,0.0207,0.118,0.013,0.000169,-0.209,0.207,0.167,0.0279,0.153,0.0753,0.166,0.24,0.0,0.01215098,1.07834128713616,1.095506195008023,1.0920778574949552,-0.013736570358795275,0.001211364147029439,0.01989303175522569,0.00010152133529098799,0.5631344137646769,0.00445098,0.005473109480399697,time,0.0753,0.0753,0.24,0.08983764300113846,0.9999999999867197,0.3743235125031839,0.809028658379891,0.07840326340326365,0.07748648018648042,1.011800782308938,0.3850070496424647,0.8046286204945636,0.07840326340326365,0.5938456866167411,5.46239898141796,0.8265706689932633,-231097.66952622,7.98169789483829,-231089.687828325,time,0.9198910940031055,0.12298676762279026,1.0428778619971126,0.9355363682528426,998.8241001361276,0.10181983032666697,-4.327689784676516,1.0373561989212143,994.4964103301489,2.767421659134703,4.572168627385532,1.0,0.27957132152403014,0.0003509799999999,0.0083509799999999,2.755869039441445,4.580128924691813,1.0,0.28012272859355003,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
620000.0,-0.0487,0.0746,-0.0044,-0.196,0.193,0.147,0.0216,0.0269,0.11,0.0129,0.000167,-0.209,0.209,0.168,0.0281,0.154,0.0746,0.167,0.24,0.0,0.0123509799999999,1.12133162431681,1.1112522220340506,1.114771297189394,0.006560327127416166,-0.0022713356444993868,0.019774761683067424,0.00010549312157196578,0.5851657388307446,0.00445098,0.005693795237977938,time,0.0746,0.0746,0.24,0.08919758965353267,0.9999999999865951,0.37165662355483753,0.8114256825055324,0.07548438228438252,0.07535850815850839,1.0015501739506734,0.3749477842144453,0.8094015693609665,0.07548438228438252,0.5775372027752883,5.40705912239223,0.8163200606349985,-231097.458066953,8.00694251682175,-231089.451124436,time,1.1313503610144835,0.14823138960625037,1.2795817510050256,1.1448250610346538,1035.1277236123851,0.10275642785260014,-3.59046459021316,1.2475814892206585,1031.5372589987073,2.767421659134703,4.775563809760282,1.0,0.29200819001298733,0.0003509799999999,0.0083509799999999,2.755869039441445,4.782732291624598,1.0,0.2925140409126177,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
630000.0,-0.0486,0.0724,-0.00475,-0.196,0.189,0.147,0.0217,0.0173,0.115,0.0134,0.00018,-0.205,0.212,0.167,0.0279,0.154,0.0724,0.166,0.239,0.0,0.01255098,1.12720586771621,1.1298963308624073,1.1335665867690399,-0.006360719052829866,-0.006654732369827306,0.0162825457541046,0.00010926722346682578,0.6061005172392278,0.00445098,0.005917801561530749,time,0.0724,0.0724,0.239,0.08732858924773719,0.9999999999861877,0.365391586809087,0.8154943934739668,0.07321212121212144,0.07321212121212144,0.9999999999863476,0.3673032271664932,0.8142005571970079,0.07321212121212144,0.5610875895414075,5.398690213381871,0.8147698866706727,-231097.193931043,7.97335557522584,-231089.220575468,time,1.3954862710088491,0.11464444801034013,1.5101307189906947,1.3822833096328007,1071.633656472278,0.09663221587977457,-2.4151196019972163,1.4789155258668165,1069.2185368457608,2.767421659134703,4.986239947768853,1.0,0.3048902622016316,0.0003509799999999,0.0083509799999999,2.755869039441445,4.992807871209148,1.0,0.30536235709141507,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
640000.0,-0.0492,0.0733,-0.00477,-0.196,0.186,0.147,0.0217,0.0298,0.118,0.0128,0.000164,-0.201,0.204,0.169,0.0285,0.154,0.0733,0.168,0.241,0.0,0.0127509799999999,1.14200614401505,1.1381260037133554,1.149377223391721,-0.00737107937667103,-0.007086104219082087,0.01007817971691818,0.00011187256483000977,0.6205522320143358,0.00445098,0.006144747174920494,time,0.0733,0.0733,0.241,0.08840974437243895,0.9999999999863574,0.36684541233224943,0.81457121173586,0.07201561771561794,0.07201561771561794,0.9999999999861424,0.3632716807397449,0.8169329047151045,0.07201561771561794,0.5519177519296015,5.398690213380763,0.8147698866704676,-231096.955572451,7.97621796184486,-231088.979354489,time,1.6338448630122002,0.11750683462935996,1.7513516979815904,1.6389045635978654,1108.8067986359697,0.08838692298209522,-1.4346259113147912,1.727291486919422,1107.3721726989602,2.767421659134703,5.204283993279569,1.0,0.31822285487740404,0.0003509799999999,0.0083509799999999,2.755869039441445,5.210466942163512,1.0,0.31867448298598827,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
650000.0,-0.0496,0.0708,-0.00415,-0.201,0.192,0.148,0.0219,0.0223,0.108,0.0135,0.000182,-0.203,0.208,0.168,0.0282,0.155,0.0708,0.167,0.24,0.0,0.01295098,1.15270468169653,1.1543824135682013,1.1627617485748436,-0.010057066878313536,-0.009851380830421341,0.008554701816669577,0.00011375164301738743,0.6309753966667107,0.00445098,0.006373966550807061,time,0.0708,0.0708,0.24,0.0865449160840774,0.9999999999858756,0.36060381701548666,0.819755600812577,0.07037459207459229,0.07037459207459229,0.9999999999858025,0.35812356000126566,0.8206991036946514,0.07037459207459229,0.539341157971465,5.398690213378928,0.8147698866701276,-231096.644091381,7.91745586681339,-231088.726635514,time,1.9453259330184665,0.058744739597890394,2.004070672992384,1.9017168360559091,1145.781050946293,0.08472290167977516,-0.3889431739193534,1.9864397380358667,1145.3921077458024,2.767421659134703,5.429742778237909,1.0,0.332008831641793,0.0003509799999999,0.0083509799999999,2.755869039441445,5.435743370208102,1.0,0.33245248983890785,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
660000.0,-0.0488,0.0687,-0.00446,-0.2,0.194,0.148,0.0219,0.0133,0.112,0.0134,0.00018,-0.208,0.211,0.169,0.0285,0.155,0.0687,0.168,0.24,0.0,0.01315098,1.18162869516664,1.1715975472332947,1.1760406791304585,0.00558801603618142,-0.004433041173672256,0.008232232928630682,0.00011545482331224823,0.6404228633901623,0.00445098,0.006606599331797072,time,0.0687,0.0687,0.24,0.08438614578234985,0.9999999999854439,0.351608940758326,0.8246106714301132,0.06892470862470883,0.06892470862470883,0.9999999999854852,0.3536358833439738,0.8239981116119799,0.06892470862470883,0.5282294513777704,5.398690213377215,0.8147698866698103,-231096.382273728,7.9330238117375,-231088.449249916,time,2.207143586012535,0.0743126845219999,2.281456270982744,2.1739432766071562,1182.1081466675037,0.07546456295387359,0.624552061648314,2.2494078398984723,1182.7326987002123,2.767421659134703,5.662531697999287,1.0,0.3462430192314696,0.0003509799999999,0.0083509799999999,2.755869039441445,5.668555850852702,1.0,0.3466914050312758,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
670000.0,-0.049,0.0667,-0.00518,-0.2,0.195,0.148,0.022,0.0191,0.106,0.0132,0.000173,-0.203,0.208,0.169,0.0286,0.155,0.0667,0.168,0.239,0.0,0.01335098,1.18699965695076,1.188751702014411,1.1876704343909412,-0.0006707774401812916,0.0018852726607956338,0.0076729921308693015,0.00011701746817471173,0.6490907862068146,0.00445098,0.006842542462178352,time,0.0667,0.0667,0.239,0.082926005571232,0.9999999999850074,0.3469707346062135,0.8288426995103185,0.06692680652680673,0.06692680652680673,0.9999999999850406,0.34748090175168034,0.828507482587842,0.06692680652680673,0.5129178055233403,5.398690213374815,0.8147698866693658,-231096.10302234,7.92568133950921,-231088.177341,time,2.4863949740247335,0.06697021229371014,2.5533651869918685,2.4428358585397136,1217.5824173987182,0.07893111985822951,1.2593268062189416,2.5217669787258106,1218.841744173494,2.767421659134703,5.90250075440591,1.0,0.36091624580991205,0.0003509799999999,0.0083509799999999,2.755869039441445,5.908713295140073,1.0,0.3613795414772076,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
680000.0,-0.0495,0.0665,-0.00391,-0.2,0.193,0.149,0.0221,0.0125,0.108,0.0133,0.000176,-0.205,0.208,0.169,0.0287,0.155,0.0665,0.168,0.24,0.0,0.01355098,1.19816948393806,1.1993715728955001,1.202157634507715,-0.003988150569654847,-0.0010363407225468383,0.007591389852942467,0.00011853504802617873,0.6575087353753064,0.00445098,0.007081615594414553,time,0.0665,0.0665,0.24,0.08299269907648504,0.9999999999849624,0.34580291281724684,0.8292682926807978,0.06514195804195824,0.06514195804195824,0.9999999999846505,0.341876462484329,0.8326566581565213,0.06514195804195824,0.4992389731458615,5.398690213372708,0.8147698866689757,-231095.788578326,7.86702625779708,-231087.921552068,time,2.8008389880124014,0.008315130581579844,2.8091541189933196,2.7158185779314707,1251.890027798533,0.07982869697502125,1.4443743155510183,2.7956472752020476,1253.3344020812983,2.767421659134703,6.149447998925636,1.0,0.37601616296598067,0.0003509799999999,0.0083509799999999,2.755869039441445,6.155930909765552,1.0,0.3764994810911209,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
