case,legacy_case,TimeStep,simtime,s1,s2,s3,p1,p2,p3,Px,Py,Pz,Px_mean,Py_mean,Pz_mean,Px_min,Px_max,Px_std,Px_var,Py_min,Py_max,Py_std,Py_var,Pz_min,Pz_max,Pz_std,Pz_var,absPx_mean,absPy_mean,absPz_mean,absP_mean,qdiff_absmax,Time_1,strain_y,stress_y,M2y,M2y_sqrt,m_y,progress_M2y,absPy_mean_norm,Py_mean_norm,stress_smooth,delta_sigma_serr,S_rms,H_M2_sections,is_loading,pred_M1_linear_sep,resid_pred_M1_linear_sep,pred_M1_quadratic_sep,resid_pred_M1_quadratic_sep,pred_M2_common,resid_pred_M2_common,pred_M3_structure,resid_pred_M3_structure,pred_M4_common_Ae,resid_pred_M4_common_Ae,pred_M5_common_AM,resid_pred_M5_common_AM,pred_M6_cross_from_Ref,resid_pred_M6_cross_from_Ref
90DW,twin,530000,26.3775,0.006942763,-0.01055098,0.002793703,0.00942635,-0.506728958,0.005567273,-4.481856882,20.33929203,0.037222437,-0.179,0.0742,0.000654,-0.211,-0.145,0.00805,6.48e-05,0.0255,0.11,0.0121,0.000147,-0.201,0.197,0.17,0.0289,0.179,0.0742,0.17,0.258,0.0,530000.0,0.01055098,0.506728958,0.0056526400000000004,0.0751840408597463,0.2866886443170868,0.7133113556829132,0.5299999999999999,0.5299999999999999,0.5137467708181819,-0.007017812818181923,0.025628042817076518,0.03682871310279103,True,0.6719528447380909,-0.16522388673809096,0.5144305481083962,-0.007701590108396217,0.5504603353620063,-0.043731377362006385,0.524493089649555,-0.017764131649555037,0.5187108577557825,-0.011981899755782566,0.522366092870471,-0.015637134870471026,0.6583277848189832,-0.1515988268189833
90DW,twin,540000,26.8775,0.006737322,-0.01075098,0.003269502,0.010574513,-0.560288437,0.005843014,-4.323338401,20.50565654,-0.024108719,-0.178,0.0739,-2.46e-05,-0.21,-0.142,0.0082,6.72e-05,0.0231,0.113,0.0128,0.000164,-0.201,0.2,0.173,0.0298,0.178,0.0739,0.172,0.259,0.0,540000.0,0.01075098,0.560288437,0.005625209999999999,0.07500139998693357,0.2852974590454937,0.7147025409545062,0.5278571428571428,0.5278571428571428,0.5301678428181819,0.030120594181818117,0.02572421331938016,0.019553284526452584,True,0.6846901041156671,-0.12440166711566714,0.5313364381405358,0.0289519988594642,0.5923470385929305,-0.0320586015929305,0.5597938527746704,0.0004945842253295529,0.5550301357813299,0.005258301218670103,0.557992317676755,0.002296119323245027,0.6977311640947901,-0.1374427270947901
90DW,twin,550000,27.3775,0.006956816,-0.01095098,0.003232638,0.010954798,-0.558835715,0.003888416,-4.436465048,20.23290315,-0.017263007,-0.18,0.0691,-0.000236,-0.207,-0.154,0.0079,6.24e-05,0.0216,0.11,0.0132,0.000173,-0.2,0.199,0.173,0.0301,0.18,0.0691,0.173,0.26,0.0,550000.0,0.01095098,0.558835715,0.0049478099999999995,0.0703406710232423,0.25094131967337824,0.7490586803266217,0.4935714285714285,0.4935714285714285,0.5370803463636364,0.021755368636363515,0.0266930017167478,0.022291683396200603,True,0.6974273634932432,-0.13859164849324324,0.5485085200161818,0.010327194983818178,0.5487578206266225,0.010077894373377472,0.5261791440907828,0.03265657090921714,0.5193681307618313,0.03946758423816865,0.5237090164897014,0.03512669851029859,0.6639640789977264,-0.1051283639977264
90DW,twin,560000,27.8775,0.007347797,-0.01115098,0.003022739,0.009565784,-0.503988813,0.004873524,-4.692648741,19.5188466,0.038632806,-0.18,0.0648,0.00117,-0.202,-0.152,0.00774,5.99e-05,0.00361,0.107,0.0134,0.000179,-0.197,0.202,0.171,0.0292,0.18,0.0648,0.17,0.257,0.0,560000.0,0.01115098,0.503988813,0.00437804,0.06616675902596408,0.22204392148907032,0.7779560785109296,0.4628571428571428,0.4628571428571428,0.5391828658181819,-0.03519405281818189,0.027977418102319747,0.07150121696281045,True,0.7101646228708193,-0.2061758098708193,0.5659467937353339,-0.06195798073533387,0.5193227534649023,-0.01533394046490233,0.5039763040020656,1.2508997934368438e-05,0.4956256689430012,0.008363144056998784,0.5010021915748799,0.002986621425120073,0.6423134563227006,-0.13832464332270067
90DW,twin,570000,28.3775,0.007424029,-0.01135098,0.003156283,0.010344609,-0.519796558,0.006490107,-4.726547711,19.31684287,-0.019277772,-0.182,0.064,-0.000621,-0.209,-0.159,0.00779,6.08e-05,0.0106,0.101,0.0143,0.000206,-0.198,0.198,0.171,0.0292,0.182,0.064,0.17,0.258,0.0,570000.0,0.01135098,0.519796558,0.004301999999999999,0.06558963332722634,0.21818735101688894,0.7818126489831111,0.45714285714285713,0.45714285714285713,0.5504489627272727,-0.03065240472727271,0.02908568890429906,0.045095688151893375,True,0.7229018822483955,-0.20310532424839545,0.5836512592979923,-0.06385470129799231,0.5548168777623409,-0.03502031976234088,0.5341230121944367,-0.014326454194436677,0.5265616059392398,-0.006765047939239821,0.5314000180573394,-0.011603460057339365,0.6762445579962097,-0.15644799999620973
90DW,twin,580000,28.8775,0.007310961,-0.01155098,0.003461752,0.01148932,-0.601224917,0.003954222,-4.580760026,19.72931021,0.013976154,-0.181,0.0662,-0.000179,-0.206,-0.156,0.00799,6.38e-05,0.0207,0.104,0.0131,0.00017,-0.202,0.203,0.175,0.0305,0.181,0.0662,0.174,0.26,0.0,580000.0,0.01155098,0.601224917,0.00455244,0.0674717718753554,0.23088908048891815,0.7691109195110819,0.47285714285714275,0.47285714285714275,0.5683414622727273,0.03288345472727272,0.032473284319649014,0.021711679649515373,True,0.7356391416259715,-0.13441422462597152,0.6016219167041572,-0.000396999704157186,0.6332455663511662,-0.03202064935116622,0.5988859691924506,0.0023389478075493964,0.593653749050448,0.007571167949552038,0.5969134068677608,0.0043115101322391824,0.7469291916918968,-0.14570427469189673
90DW,twin,590000,29.3775,0.007341862,-0.01175098,0.003651901,0.009891235,-0.609909358,0.005449008,-4.591194533,19.52052514,0.023182687,-0.18,0.0647,0.000263,-0.205,-0.154,0.00759,5.76e-05,0.00883,0.1,0.0126,0.000159,-0.206,0.202,0.173,0.0301,0.18,0.0647,0.173,0.259,0.0,590000.0,0.01175098,0.609909358,0.004345089999999999,0.0659172966678701,0.2203727747628949,0.779627225237105,0.4621428571428571,0.4621428571428571,0.5790125903636364,0.03089676763636362,0.03241472052719625,0.07101315203126582,True,0.7483764010035476,-0.13846704300354762,0.6198587659538282,-0.009949407953828149,0.6514714425565259,-0.04156208455652588,0.615110049258539,-0.0052006912585389475,0.6100476882981065,-0.00013833029810650377,0.6131877817167831,-0.0032784237167831076,0.7660780516053223,-0.15616869360532226
90DW,twin,600000,29.8775,0.007728155,-0.01195098,0.003457121,0.009534465,-0.55509193,0.006282215,-4.852689592,18.69975727,-0.040577619,-0.184,0.0549,-0.00118,-0.212,-0.157,0.00807,6.51e-05,-0.00449,0.0981,0.0149,0.000221,-0.198,0.2,0.172,0.0294,0.184,0.0549,0.171,0.258,0.0,600000.0,0.01195098,0.55509193,0.0032350099999999995,0.05687714831107481,0.1640721205051478,0.8359278794948521,0.39214285714285707,0.39214285714285707,0.5791832345454545,-0.024091304545454495,0.03618942258105094,0.11581941957081157,True,0.7611136603811238,-0.2060217303811238,0.6383618070470055,-0.0832698770470055,0.5509815652003719,0.004110364799628119,0.5356188442097122,0.019473085790287836,0.5264683000948758,0.028623629905124237,0.5323662499855543,0.022725680014445748,0.6836019545156229,-0.12851002451562288
90DW,twin,610000,30.3775,0.008045291,-0.01215098,0.003344053,0.011697406,-0.542155003,0.004402534,-5.016120211,18.19165878,0.013261071,-0.186,0.0497,0.000912,-0.212,-0.159,0.0079,6.24e-05,-0.0164,0.093,0.0168,0.000284,-0.198,0.197,0.173,0.0299,0.186,0.0498,0.172,0.259,0.0,610000.0,0.01215098,0.542155003,0.0027540900000000003,0.05247942453952787,0.13968098595120962,0.8603190140487904,0.35571428571428565,0.355,0.5824798509090909,-0.040324847909090966,0.03778878336489542,0.11006270060300385,True,0.7738509197587,-0.23169591675870005,0.6571310399836893,-0.1149760369836893,0.5332309382410831,0.008924064758916828,0.5228366537974879,0.019318349202512075,0.5125655801080566,0.02958942289194333,0.5192159605793075,0.022939042420692446,0.6719536331153169,-0.1297986301153169
90DW,twin,620000,30.8775,0.007838789,-0.01235098,0.003727224,0.010307257,-0.624505647,0.004577496,-4.834156099,18.67990937,0.007955029,-0.182,0.0584,9.47e-06,-0.209,-0.152,0.00788,6.21e-05,-0.0012,0.0968,0.0137,0.000186,-0.199,0.201,0.175,0.0306,0.182,0.0584,0.174,0.26,0.0,620000.0,0.01235098,0.624505647,0.00359656,0.059971326481911336,0.18240908860374294,0.8175909113962571,0.4171428571428571,0.4171428571428571,0.5975870899090909,0.026918557090909068,0.036547371625917605,0.050283599424687485,True,0.786588179136276,-0.162082532136276,0.6761664647638791,-0.0516608177638791,0.6895160042417842,-0.06501035724178417,0.6503717799342064,-0.025866132934206365,0.645222409283481,-0.02071676228348096,0.6484069601622808,-0.023901313162280835,0.8092861275163752,-0.1847804805163752
