case,legacy_case,TimeStep,simtime,s1,s2,s3,p1,p2,p3,Px,Py,Pz,Px_mean,Py_mean,Pz_mean,Px_min,Px_max,Px_std,Px_var,Py_min,Py_max,Py_std,Py_var,Pz_min,Pz_max,Pz_std,Pz_var,absPx_mean,absPy_mean,absPz_mean,absP_mean,qdiff_absmax,strain_y,stress_y,M2y,M2y_sqrt,m_y,progress_M2y,absPy_mean_norm,Py_mean_norm,stress_smooth,delta_sigma_serr,S_rms,H_M2_sections,is_loading,pred_M1_linear_sep,resid_pred_M1_linear_sep,pred_M1_quadratic_sep,resid_pred_M1_quadratic_sep,pred_M2_common,resid_pred_M2_common,pred_M3_structure,resid_pred_M3_structure,pred_M4_common_Ae,resid_pred_M4_common_Ae,pred_M5_common_AM,resid_pred_M5_common_AM,pred_M6_cross_from_90DW,resid_pred_M6_cross_from_90DW
Ref,single,660000,32.8775,0.005587332,-0.01315098,0.005892133,-0.001203421,-1.181628695,-0.002930334,-18.2571626,-6.15738174,-13.83608035,-0.0488,0.0687,-0.00446,-0.2,0.194,0.148,0.0219,0.0133,0.112,0.0134,0.00018,-0.208,0.211,0.169,0.0285,0.155,0.0687,0.168,0.24,0.0,0.01315098,1.181628695,0.004899689999999999,0.06999778567926274,0.2850577802135275,0.7149422197864725,0.5284615384615384,3.108597285067873,1.1705001863636364,0.011128508636363499,0.00675878591666074,0.040153634375052684,True,1.1649314742030445,0.016697220796955348,1.113293370898224,0.0683353241017759,1.1376530105391178,0.04397568446088207,1.207094947110093,-0.025466252110093013,1.200816546269474,-0.019187851269474088,1.205215876255537,-0.02358718125553705,1.0178023511379104,0.1638263438620895
Ref,single,670000,33.3775,0.005779441,-0.01335098,0.00587612,-0.001506875,-1.186999657,-0.004345243,-18.28356572,-6.408161762,-13.82973105,-0.049,0.0667,-0.00518,-0.2,0.195,0.148,0.022,0.0191,0.106,0.0132,0.000173,-0.203,0.208,0.169,0.0286,0.155,0.0667,0.168,0.239,0.0,0.01335098,1.186999657,0.00462189,0.06798448352381593,0.2688957268298813,0.7311042731701187,0.513076923076923,3.0180995475113117,1.1872658266363636,-0.0002661696363635002,0.006486455887348502,0.07837289475959441,True,1.1826477428644377,0.004351914135562351,1.135780951153172,0.05121870584682808,1.1412398406711575,0.04575981632884263,1.21371225680262,-0.026712599802619863,1.2088166363105144,-0.021816979310514295,1.2123278257126826,-0.02532816871268251,1.0222236129032904,0.16477604409670965
Ref,single,680000,33.8775,0.00581648,-0.01355098,0.006076923,-0.001461072,-1.198169484,-0.002173569,-18.28476098,-6.606494169,-13.82882599,-0.0495,0.0665,-0.00391,-0.2,0.193,0.149,0.0221,0.0125,0.108,0.0133,0.000176,-0.205,0.208,0.169,0.0287,0.155,0.0665,0.168,0.24,0.0,0.01355098,1.198169484,0.004598250000000001,0.06781039743284212,0.26752038146634854,0.7324796185336515,0.5115384615384615,3.009049773755656,1.2021603449999998,-0.003990860999999901,0.005276336712632251,0.04510512654247005,True,1.200364011525831,-0.002194527525831047,1.1584350097778238,0.03973447422217613,1.183167615724266,0.015001868275733798,1.2531507950361749,-0.054981311036174985,1.2455052772755373,-0.047335793275537386,1.2507982823145913,-0.05262879831459144,1.057557490430266,0.14061199356973386
Ref,single,690000,34.3775,0.005935715,-0.01375098,0.006105539,-0.00197863,-1.212226216,-0.002063537,-18.29883229,-6.824840795,-13.82965541,-0.0499,0.0607,-0.00426,-0.198,0.193,0.15,0.0224,-0.000209,0.106,0.0134,0.000181,-0.208,0.21,0.17,0.0287,0.157,0.0607,0.169,0.239,0.0,0.01375098,1.212226216,0.0038654899999999996,0.062173064907562664,0.22488932949586374,0.7751106705041363,0.4669230769230769,2.7466063348416285,1.217709701181818,-0.005483485181818182,0.005416783833435211,0.029038306777562348,True,1.2180802801872241,-0.005854064187224228,1.1812555467721797,0.030970669227820213,1.118122102838955,0.09410411316104494,1.2010163493894417,0.011209866610558228,1.2021513260497565,0.010074889950243415,1.2017768260014277,0.010449389998572256,1.0066435158606764,0.20558270013932356
Ref,single,700000,34.8775,0.006027134,-0.01395098,0.006220937,-0.001957594,-1.233568684,-0.002210806,-18.32098833,-6.955145319,-13.83527302,-0.0499,0.0612,-0.00458,-0.201,0.2,0.149,0.0222,0.007,0.104,0.013,0.000169,-0.204,0.211,0.17,0.029,0.156,0.0612,0.169,0.24,0.0,0.01395098,1.233568684,0.00391444,0.06256548569299211,0.22773717871519236,0.7722628212848076,0.4707692307692307,2.7692307692307687,1.2331046433636366,0.0004640406363634053,0.005447397481321917,0.11195636047795217,True,1.2357965488486173,-0.002227864848617367,1.2042425621362398,0.029326121863760157,1.1710003389867298,0.06256834501327013,1.2498288763694292,-0.016260192369429216,1.2470336320744737,-0.013464948074473737,1.2492035071612466,-0.015634823161246647,1.0508062680262038,0.18276241597379617
Ref,single,710000,35.3775,0.006131657,-0.01415098,0.006321967,-0.002477429,-1.241319709,-0.003429252,-18.33781497,-7.217567876,-13.83859372,-0.0502,0.0586,-0.00433,-0.2,0.193,0.15,0.0225,0.00179,0.103,0.0139,0.000194,-0.215,0.212,0.17,0.0291,0.157,0.0586,0.17,0.24,0.0,0.01415098,1.241319709,0.00362796,0.06023254934003707,0.21107013388672946,0.7889298661132705,0.45076923076923076,2.6515837104072397,1.2483558967272728,-0.007036187727272658,0.0055069522517160975,0.0991637574517186,True,1.2535128175100108,-0.012193108510010653,1.2273960558700039,0.013923653129996216,1.1732777600775557,0.06804194892244442,1.2553252848039447,-0.01400557580394457,1.2540539588875468,-0.012734249887546678,1.2552445098052956,-0.013924800805295456,1.054171810934129,0.18714789806587118
Ref,single,720000,35.8775,0.006237683,-0.01435098,0.006405093,-0.000276106,-1.26276333,-0.003664421,-18.33447407,-7.366474553,-13.84691503,-0.05,0.0574,-0.00507,-0.201,0.202,0.15,0.0226,-0.00178,0.0996,0.0136,0.000184,-0.215,0.213,0.171,0.0293,0.157,0.0574,0.17,0.24,0.0,0.01435098,1.26276333,0.00347876,0.05898101389430331,0.20238986619472074,0.7976101338052792,0.44153846153846155,2.597285067873303,1.2628772103636363,-0.00011388036363624288,0.0044278181489870415,0.07046850341834648,True,1.2712290861714037,-0.00846575617140366,1.2507160279734721,0.012047302026527928,1.1962643601059177,0.06649896989408233,1.2785494956232268,-0.015786165623226767,1.2765698958314202,-0.013806565831420148,1.2782232519080834,-0.015459921908083318,1.0742342530069573,0.18852907699304278
Ref,single,730000,36.3775,0.006367324,-0.01455098,0.006454578,6.01e-05,-1.285171326,-0.003888771,-18.36469302,-7.526113061,-13.84299405,-0.0503,0.0528,-0.00458,-0.202,0.193,0.151,0.0228,-0.00508,0.0947,0.0142,0.000201,-0.209,0.212,0.171,0.0293,0.158,0.0528,0.17,0.24,0.0,0.01455098,1.285171326,0.0029888399999999996,0.05467028443313607,0.17388693893152418,0.8261130610684758,0.40615384615384614,2.3891402714932126,1.2768731061818182,0.008298219818181796,0.0061237958561076895,0.07523075195262292,True,1.288945354832797,-0.003774028832796983,1.2742024784466446,0.010968847553355365,1.1678521296593563,0.1173191963406437,1.2577744579828807,0.02739686801711927,1.26062673979914,0.024544586200859975,1.2591636301677651,0.026007695832234834,1.0528560811268,0.2323152448732
Ref,single,740000,36.8775,0.006366424,-0.01475098,0.00664618,-0.002580657,-1.298248786,-0.003188081,-18.35406806,-7.768316369,-13.84414657,-0.0501,0.0538,-0.00443,-0.205,0.197,0.151,0.0229,-0.0177,0.099,0.0137,0.000188,-0.203,0.21,0.171,0.0292,0.158,0.0538,0.17,0.24,0.0,0.01475098,1.298248786,0.0030824399999999997,0.05551972622410885,0.17933246879728837,0.8206675312027116,0.41384615384615386,2.434389140271493,1.2938991646363633,0.004349621363636702,0.007315843101609156,0.028148349015845966,True,1.3066616234941903,-0.008412837494190306,1.2978554072895212,0.0003933787104788422,1.2274659779834207,0.07078280801657932,1.312352911364965,-0.01410412536496497,1.3105489568985964,-0.012300170898596363,1.3120992716046285,-0.013850485604628426,1.1024494608252011,0.19579932517479892
Ref,single,750000,37.3775,0.006546871,-0.01495098,0.006684584,-0.001719002,-1.311350508,-0.002865494,-18.38986088,-8.022174879,-13.85124188,-0.0506,0.0495,-0.00457,-0.208,0.204,0.152,0.023,-0.0159,0.0973,0.0148,0.000219,-0.215,0.219,0.172,0.0297,0.159,0.0496,0.171,0.24,0.0,0.01495098,1.311350508,0.00266925,0.05166478491196881,0.1552935960917851,0.8447064039082148,0.3815384615384615,2.239819004524887,1.3085182398181818,0.002832268181818254,0.008384357936836772,0.10270133948877812,True,1.3243778921555835,-0.013027384155583466,1.3216748145021018,-0.010324306502101699,1.2106287424368973,0.10072176556310275,1.3014864858821307,0.009864022117869409,1.3032667723504099,0.008083735649590196,1.3025066716349187,0.008843836365081348,1.0904036976930265,0.2209468103069736
Ref,single,760000,37.8775,0.006621601,-0.01515098,0.006791741,-0.001118696,-1.320468469,-0.003342883,-18.39560304,-8.342160883,-13.84977374,-0.0503,0.0488,-0.00439,-0.202,0.199,0.152,0.0231,-5.85e-05,0.0886,0.0138,0.000191,-0.208,0.215,0.172,0.0296,0.159,0.0488,0.171,0.24,0.0,0.01515098,1.320468469,0.0025724400000000005,0.05071922712344896,0.1496613124774194,0.8503386875225806,0.37538461538461537,2.2081447963800906,1.324728044181818,-0.004259575181818187,0.008594654011067078,0.007201363084310254,True,1.3420941608169765,-0.0216256918169766,1.3456607000843865,-0.025192231084386618,1.2415185613211563,0.07894990767884358,1.331476136437266,-0.011007667437266111,1.3316962802059429,-0.011227811205942961,1.3319493427167517,-0.011480873716751772,1.1168381571554913,0.20363031184450864
Ref,single,770000,38.3775,0.006722262,-0.01535098,0.006873066,-0.000234832,-1.341363145,-0.003397995,-18.41105912,-8.546850845,-13.86172221,-0.0506,0.0429,-0.00464,-0.203,0.194,0.152,0.0232,-0.0155,0.0883,0.0151,0.000227,-0.207,0.209,0.173,0.0298,0.159,0.0429,0.172,0.24,0.0,0.01535098,1.341363145,0.00206741,0.045468780498271556,0.12027930448482436,0.8797206955151756,0.33,1.9411764705882353,1.3389314255454545,0.0024317194545455667,0.011990792251159111,0.08718148088886188,True,1.35981042947837,-0.018447284478369852,1.3698130640363753,-0.02844991903637517,1.2108269333385646,0.13053621166143548,1.3087498524825711,0.03261329251742895,1.3140475686005535,0.027315576399446595,1.3110254345310555,0.030337710468944623,1.0936222074025068,0.24774093759749327
Ref,single,780000,38.8775,0.006822711,-0.01555098,0.006974919,-0.00191498,-1.340954511,-0.003927793,-18.42572511,-9.045726168,-13.85599718,-0.0508,0.0393,-0.00464,-0.203,0.193,0.153,0.0233,-0.0208,0.0844,0.0158,0.00025,-0.212,0.209,0.174,0.0302,0.16,0.0395,0.173,0.24,0.0,0.01555098,1.340954511,0.0017944900000000001,0.04236142112819163,0.10440116334204269,0.8955988366579573,0.3038461538461538,1.7782805429864252,1.354987300090909,-0.014032789090908881,0.012360163153011354,0.2356164256103807,True,1.3775266981397631,-0.03657218713976307,1.3941319063580684,-0.05317739535806831,1.2151499289223464,0.12580458207765366,1.3159973462925052,0.024957164707494872,1.3225984932674557,0.01835601773254436,1.318739483118144,0.02221502788185603,1.0986370069587135,0.2423175040412866
Ref,single,790000,39.3775,0.006870584,-0.01575098,0.007120081,-0.001433224,-1.385456127,-0.002787847,-18.43114353,-8.967332102,-13.85557617,-0.0508,0.0375,-0.00444,-0.204,0.198,0.153,0.0235,-0.0299,0.0833,0.0162,0.000262,-0.212,0.209,0.173,0.03,0.161,0.0377,0.172,0.24,0.0,0.01575098,1.385456127,0.00166825,0.04084421623681865,0.09705667947180686,0.9029433205281931,0.29,1.69683257918552,1.3715941465454544,0.013861980454545675,0.012273794050620858,0.03305098003990559,True,1.3952429668011563,-0.009786839801156244,1.4186172270494655,-0.033161100049465375,1.2416001270597257,0.14385599994027443,1.3421865217297526,0.04326960527024748,1.3477060619756298,0.03775006502437028,1.3445510522749287,0.04090507472507143,1.1214919956867446,0.26396413131325547
Ref,single,800000,39.8775,0.007074927,-0.01595098,0.007135213,-6.59e-05,-1.373036043,-0.002874581,-18.46022466,-9.688963346,-13.87234876,-0.0512,0.0328,-0.00441,-0.204,0.198,0.153,0.0234,-0.0342,0.0767,0.016,0.000256,-0.217,0.216,0.174,0.0304,0.16,0.0332,0.173,0.24,0.0,0.01595098,1.373036043,0.0013318400000000002,0.03649438312946254,0.07748477026089091,0.922515229739109,0.2553846153846154,1.4841628959276019,1.3876853940000002,-0.01464935100000031,0.014284761239837325,0.16192571262209618,True,1.4129592354625495,-0.039923192462549606,1.4432690261105665,-0.07023298311056658,1.2363454290920488,0.13669061390795112,1.3412351652089107,0.0318008777910892,1.349090492708932,0.02394555029106793,1.3444316431242889,0.028604399875711062,1.1187847226323762,0.25425132036762377
Ref,single,810000,40.3775,0.00708128,-0.01615098,0.007291699,-0.000662935,-1.411876532,-0.00349148,-18.44990408,-9.684976139,-13.86439331,-0.0509,0.0346,-0.00479,-0.209,0.2,0.153,0.0235,-0.022,0.0825,0.0148,0.00022,-0.213,0.212,0.174,0.0303,0.16,0.0348,0.173,0.24,0.0,0.01615098,1.411876532,0.0014171599999999998,0.037645185615161995,0.08244858017699133,0.9175514198230087,0.2676923076923077,1.5656108597285066,1.4055922540909092,0.006284277909090807,0.015608777362102122,0.1104908223573797,True,1.4306755041239425,-0.018798972123942548,1.4680873035413715,-0.05621077154137155,1.2947102098053698,0.11716632219463019,1.3947443717688364,0.017132160231163596,1.39807809695959,0.013798435040409895,1.3963456901357556,0.01553084186424436,1.167371034111915,0.24450549788808495
Ref,single,820000,40.8775,0.007163986,-0.01635098,0.007443921,-0.001361312,-1.397556904,-0.002442632,-18.46961303,-10.79919786,-13.86796665,-0.0509,0.0175,-0.0045,-0.206,0.194,0.154,0.0238,-0.0431,0.0684,0.0187,0.000349,-0.207,0.217,0.175,0.0305,0.161,0.0215,0.174,0.239,0.0,0.01635098,1.397556904,0.00065525,0.025597851472340408,0.03812161799724349,0.9618783820027565,0.16538461538461535,0.7918552036199096,1.426166852818182,-0.028609948818181907,0.016015070493950807,0.20176126387180704,True,1.448391772785336,-0.05083486878533594,1.4930720593418811,-0.09551515534188115,1.2252673151745088,0.17228958882549117,1.3388456091093126,0.05871129489068738,1.3514338118518692,0.04612309214813082,1.3437276785689345,0.0538292254310655,1.1129116442549063,0.2846452597450937
Ref,single,830000,41.3775,0.007334623,-0.01655098,0.007423694,-0.002561317,-1.43937795,-0.004055093,-18.48016404,-10.88723526,-13.87300892,-0.0512,0.0243,-0.00462,-0.203,0.204,0.154,0.0237,-0.043,0.0726,0.0184,0.000337,-0.214,0.212,0.175,0.0306,0.161,0.0263,0.174,0.24,0.0,0.01655098,1.43937795,0.00092749,0.030454720487963768,0.05396019759826534,0.9460398024017347,0.2023076923076923,1.099547511312217,1.4493254545454548,-0.0099475045454549,0.016007322508161868,0.038795960781104526,True,1.4661080414467291,-0.02673009144672922,1.5182232935120945,-0.0788453435120946,1.3118296463467778,0.12754830365322212,1.416492933543369,0.02288501645663099,1.421520188288201,0.01785776171179898,1.4187040963527464,0.020673853647253493,1.184232399148663,0.25514555085133694
Ref,single,840000,41.8775,0.007345153,-0.01675098,0.00762975,-0.001681284,-1.467846637,-0.002429529,-18.48417197,-10.86745914,-13.88396296,-0.0511,0.0212,-0.00473,-0.205,0.201,0.155,0.0239,-0.034,0.0673,0.0175,0.000305,-0.212,0.212,0.175,0.0307,0.162,0.0234,0.174,0.24,0.0,0.01675098,1.467846637,0.00075444,0.02746707119443207,0.04389236700776861,0.9561076329922313,0.18,0.9592760180995474,1.4745887962727275,-0.006742159272727477,0.015718770286653725,0.206936972254199,True,1.4838243101081223,-0.01597767310812226,1.5435410060520118,-0.07569436905201177,1.331218388583326,0.1366282484166741,1.4366372486249133,0.0312093883750868,1.441344033874123,0.026502603125877044,1.4387402023389047,0.029106434661095415,1.201394046895421,0.2664525901045791
