dataset,Time,section,strain,P_parallel,Pabs_parallel_mean,Pmag_mean,chi_parallel,P_parallel_sm,dP_parallel_de,A_P_parallel,A_P_parallel_norm,onset_P_parallel,chi_parallel_sm,dchi_parallel_de,A_chi_parallel,A_chi_parallel_norm,onset_chi_parallel,H_sec_quick,H_sec_chi_quick,P_env_min,P_env_max,chi_env_min,chi_env_max,H_sec_quick_sm,dH_sec_quick_de,A_H_sec_quick,A_H_sec_quick_norm,onset_H_sec_quick,H_sec_chi_quick_sm,dH_sec_chi_quick_de,A_H_sec_chi_quick,A_H_sec_chi_quick_norm,onset_H_sec_chi_quick
Single,530000.0,xy,0.01055098,0.03700374,0.07314524,0.2357837,0.505894026726744,0.040117654848484785,31.106252339911173,0.06937464428932617,0.39541565507468657,0.0087509799999999,0.5512612362890169,292.52615566779326,0.4089606245040846,0.24222717918477676,0.00975098,0.4302747115507466,0.39438986198482096,0.03700374,0.05638544,0.505894026726744,0.745933677829202,0.60288709917858,-565.8022951351825,1.561980401188277,0.425746251593888,0.00855098,0.5242320606246041,-209.33881193827798,0.4847218378685712,0.22103009498458856,0.0083509799999999
Single,540000.0,xy,0.01075098,0.05940672,0.06870224,0.2341979,0.8646984435898349,0.05630687974025966,29.26619840152927,0.07541188936347024,0.4298262274141024,0.0087509799999999,0.740053589505127,294.97856817665047,0.46771109688852913,0.27702505543194345,0.00975098,0.5120557878752726,0.3742890854168589,0.05116674,0.08445527,0.6822366627943827,0.9999999999881594,0.49975400501980943,-521.6236917767737,1.6707229998794728,0.45538603052205817,0.00855098,0.39297207237830734,-246.36593883535488,0.5302923129459346,0.241809943648171,0.0083509799999999
Single,550000.0,xy,0.01095098,0.08049302,0.08049302,0.2376008,0.9999999999875765,0.07173171424242414,26.898009341316822,0.08102831013775486,0.4618382214558581,0.0087509799999999,0.9094754539274428,291.2349303228909,0.5263324467384835,0.3117464524646706,0.00975098,0.35818781993174875,0.23711657278127402,0.05929268,0.08628455,0.7802520538324547,0.9999999999884104,0.3358662068301347,-466.9161329235299,1.7695769823495033,0.4823304867135225,0.00855098,0.23346072455523798,-275.91632903881583,0.5825205397333518,0.26562568501947176,0.0083509799999999
Single,560000.0,xy,0.01115098,0.0831275,0.0831275,0.236811,0.9999999999879702,0.08287839017316005,23.897680874262104,0.08610787915931271,0.4907903138627004,0.0087509799999999,1.0185597135473097,279.5993625877392,0.5834158760295461,0.34555693989762315,0.00975098,0.2658097058837196,0.15053767484349648,0.06619125,0.08714248,0.8566552534293173,0.9999999999885245,0.21598246250606112,-401.50915032414446,1.8564195106742702,0.5060010019677974,0.00855098,0.11155592950294244,-285.6951442587788,0.6386816870631109,0.2912348133049316,0.0083509799999999
Single,570000.0,xy,0.01135098,0.08617952,0.08617952,0.2388706,0.9999999999883963,0.08701883367965357,20.543981395120014,0.09055204538625093,0.5161207918476657,0.0087509799999999,1.036718630502903,260.2167941789221,0.6373974917062124,0.3775302246339022,0.00975098,0.10146955400021185,0.015638102115016456,0.0794616,0.08804197,0.9844429919008157,0.9999999999886418,0.15320725134395138,-333.09864723255123,1.92988029042994,0.526024077543104,0.00855098,0.06604800389175038,-275.31630056939116,0.694782831545928,0.31681658067135954,0.0083509799999999
Single,580000.0,xy,0.01155098,0.08413059,0.08413059,0.2376345,0.9999999999881136,0.08613221822510811,17.07324036093775,0.09431376756185672,0.53756153368517,0.0087509799999999,1.0123001414788273,234.5956456630292,0.6868787356904077,0.4068379414034065,0.00975098,0.023401237559922426,2.771116669494501e-13,0.0833739,0.08534624,0.9999999999880058,0.9999999999882829,0.06311818388321103,-270.012998057227,1.990191454958918,0.5424629856164324,0.00855098,0.009415532720107797,-250.98118792735508,0.7474125803956028,0.3408154135657273,0.0083509799999999
Single,590000.0,xy,0.01175098,0.0836358,0.0836358,0.2385418,0.9999999999880433,0.0831938007359306,13.53682870343504,0.09737477446829398,0.5550083986528547,0.0087509799999999,0.9999999999879698,203.15122232606873,0.7306534224893172,0.4327656671248128,0.00975098,0.04584466082973106,5.591083152075323e-13,0.07989939,0.0836358,0.9999999999874842,0.9999999999880433,0.025537763902742185,-216.57912336375085,2.0388506671010154,0.5557259415147584,0.00855098,-0.00979235756728335,-217.43071790846054,0.794253770979184,0.362174700470163,0.0083509799999999
Single,600000.0,xy,0.0119509799999999,0.08162355,0.08162355,0.2382847,0.9999999999877486,0.08098532060606049,9.735117305700934,0.09970196906920642,0.5682727430978992,0.0087509799999999,0.9999999999876319,165.47308235454068,0.7675158529573597,0.4545992667800278,0.00975098,0.026855391412568066,3.326228181815055e-13,0.07946623,0.08162355,0.999999999987416,0.9999999999877486,0.015650675960517495,-171.05712400174758,2.0776142918375458,0.5662916745529034,0.00855098,-0.012737479402621469,-177.1634434893242,0.8337131871189427,0.38016794487557,0.0083509799999999
Single,610000.0,xy,0.01215098,0.07683558,0.07683558,0.2367209,0.9999999999869851,0.07879399376623367,5.685399836566007,0.10124402078343389,0.5770619973706468,0.0087509799999999,0.9999999999873015,123.11652462642441,0.7963748136554708,0.4716924151793011,0.00975098,0.02283208993705478,3.0064839507214836e-13,0.0751005,0.07683558,0.9999999999866844,0.9999999999869851,0.02826400817674523,-136.4511808630147,2.1083651223240376,0.5746733743508414,0.00855098,-0.001421645646338446,-137.83335311813858,0.8652128667797049,0.39453159974620156,0.0083509799999999
Single,620000.0,xy,0.0123509799999999,0.07702571,0.07702571,0.2388746,0.9999999999870173,0.07683470103896092,1.6016940006747167,0.1019727301671576,0.5812154326967075,0.0087509799999999,0.999999999986978,81.64890714126491,0.8168513568322295,0.48382066175359206,0.00975098,0.035732672722300435,4.697353617246761e-13,0.074336,0.07702571,0.9999999999865475,0.9999999999870173,0.03341891622176762,-106.68748750764554,2.1326789891610916,0.5813005622846681,0.00855098,4.4020487111735937e-13,-104.15829207823815,0.8894120312993304,0.4055662658463305,0.0083509799999999
