Time,Px_mean,Py_mean,Pz_mean,Px_min,Px_max,Px_std,Px_var,Py_min,Py_max,Py_std,Py_var,Pz_min,Pz_max,Pz_std,Pz_var,absPx_mean,absPy_mean,absPz_mean,absP_mean,qdiff_absmax,strain,stress_raw,stress_sm,stress_trend,E_tan,delta_sigma_serr,S_rms,A_sigma,A_sigma_norm,onset_sigma,align_method,P_parallel,Pabs_parallel_mean,Pmag_mean,Pvec_norm,chi_parallel,chi_vec,eta_perp_comp,P_parallel_sm,dP_parallel_de,A_P_parallel,A_P_parallel_norm,onset_P_parallel,Pabs_parallel_mean_sm,dPabs_parallel_mean_de,A_Pabs_parallel_mean,A_Pabs_parallel_mean_norm,onset_Pabs_parallel_mean,Pmag_mean_sm,dPmag_mean_de,A_Pmag_mean,A_Pmag_mean_norm,onset_Pmag_mean,Pvec_norm_sm,dPvec_norm_de,A_Pvec_norm,A_Pvec_norm_norm,onset_Pvec_norm,chi_parallel_sm,dchi_parallel_de,A_chi_parallel,A_chi_parallel_norm,onset_chi_parallel,chi_vec_sm,dchi_vec_de,A_chi_vec,A_chi_vec_norm,onset_chi_vec,eta_perp_comp_sm,deta_perp_comp_de,A_eta_perp_comp,A_eta_perp_comp_norm,onset_eta_perp_comp,dataset
680000.0,-0.0495,0.0665,-0.00391,-0.2,0.193,0.149,0.0221,0.0125,0.108,0.0133,0.000176,-0.205,0.208,0.169,0.0287,0.155,0.0665,0.168,0.24,0.0,0.01355098,1.19816948393806,1.1993715728955001,1.202157634507715,76.50312260874479,-0.003988150569654847,0.007591389852942467,0.00011853504802617873,0.6575087353753064,0.00445098,time,0.0665,0.0665,0.24,0.08299269907648504,0.9999999999849624,0.34580291281724684,1.3458333333277257,0.06514195804195824,-9.904385008930452,0.06511067439181548,0.507819697853518,0.0087509799999999,0.06514195804195824,-9.882363091453989,0.06627924024994708,0.553302722591172,0.00255098,0.23971328671328745,0.018284745557524584,0.0035069475904338115,0.5277028623783986,0.0019509799999999,0.08195630027582504,-7.288874518521049,0.04215183705307162,0.587375688348741,0.0091509799999999,0.9999999999846505,0.09250525551572547,0.8388096845986267,0.499474863718564,0.0091509799999999,0.341876462484329,-30.397818485141457,0.1742199377811299,0.5829582421934378,0.0091509799999999,1.3520966849722618,15.558691262770564,0.1809423183383986,0.767550561089823,0.00135098,Single
690000.0,-0.0499,0.0607,-0.00426,-0.198,0.193,0.15,0.0224,-0.000209,0.106,0.0134,0.000181,-0.208,0.21,0.17,0.0287,0.157,0.0607,0.169,0.239,0.0,0.01375098,1.21222621570349,1.2159153764987463,1.2166256688421189,76.17465071010561,-0.004399453138628884,0.00856814121050179,0.0001202265574355589,0.6668914642066253,0.00445098,time,0.0607,0.0607,0.239,0.07869337710379444,0.9999999999835255,0.3292609920647079,1.3640167363959665,0.0626107226107228,-10.570138951957171,0.06715812678790423,0.5237884566916533,0.0087509799999999,0.0626107226107228,-10.401515151515188,0.06830762807424398,0.5702358150862259,0.00255098,0.23954778554778627,0.016483516483207825,0.0035104244166378846,0.5282260327687649,0.0019509799999999,0.08006064158515712,-7.6498771074162875,0.04364571221566534,0.6081924786307586,0.0091509799999999,0.9999999999840166,-2.614633310399175,0.8390803984552182,0.4996360621037405,0.0091509799999999,0.3342314188394966,-31.902364482746904,0.1804499560779187,0.6038045388996828,0.0091509799999999,1.3559513220672565,15.642859827223145,0.18406247344739796,0.7807861426087954,0.00135098,Single
700000.0,-0.0499,0.0612,-0.00458,-0.201,0.2,0.149,0.0222,0.007,0.104,0.013,0.000169,-0.204,0.211,0.17,0.029,0.156,0.0612,0.169,0.24,0.0,0.0139509799999999,1.23356868362328,1.2332709465780767,1.23237670195025,76.05708240318182,0.0011919816730299182,0.009132402448657439,0.00012202688818451626,0.6768778202567177,0.00445098,time,0.0612,0.0612,0.24,0.07909757518407248,0.9999999999836602,0.3295732299322621,1.3541666666610244,0.0607151515151517,-11.030065389156235,0.06931814722201449,0.5406351709125273,0.0087509799999999,0.06070675990676009,-10.863701450065024,0.07043414973440094,0.5879881342102353,0.00255098,0.2397016317016324,0.008809372445624162,0.0035129537055307667,0.5286066238537861,0.0019509799999999,0.0786695145533177,-7.845862267891069,0.045195286153195305,0.6297854179149459,0.0091509799999999,1.0001691856365802,-1.4836956957666225,0.8394902313558346,0.4998800998585987,0.0091509799999999,0.32820654991150544,-32.711024825992794,0.18691129500878942,0.6254248587857366,0.0091509799999999,1.3581200644951559,15.640350934359944,0.1871907945235547,0.7940563638556715,0.00135098,Single
710000.0,-0.0502,0.0586,-0.00433,-0.2,0.193,0.15,0.0225,0.00179,0.103,0.0139,0.000194,-0.215,0.212,0.17,0.0291,0.157,0.0586,0.17,0.24,0.0,0.01415098,1.24131970851009,1.248685700181988,1.2477907438119809,76.7415219701067,-0.0064710353018908595,0.007717124528077776,0.00012375763302476943,0.6864781863098101,0.00445098,time,0.0586,0.0586,0.24,0.07728356164152891,0.9999999999829352,0.3220148401716954,1.362499999994323,0.05855081585081602,-11.466426300971701,0.07156779639102842,0.5581809292993991,0.0087509799999999,0.058552913752913924,-11.322904368358861,0.07265281031624446,0.606509634091802,0.00255098,0.23981818181818254,0.002512638876293385,0.0035140859066629592,0.5287769901802963,0.0019509799999999,0.07718789810116422,-7.973648969159863,0.046777237276901196,0.6518295254837547,0.0091509799999999,0.9999577035696479,-0.9114408187955192,0.8397297450072909,0.5000227198719539,0.0091509799999999,0.32186723028676467,-33.241642669701456,0.19350656175836217,0.6474933152442499,0.0091509799999999,1.3608807336261095,15.595851453919689,0.19031441476238423,0.8073066443260546,0.00135098,Single
720000.0,-0.05,0.0574,-0.00507,-0.201,0.202,0.15,0.0226,-0.00178,0.0996,0.0136,0.000184,-0.215,0.213,0.171,0.0293,0.157,0.0574,0.17,0.24,0.0,0.0143509799999999,1.26276333005342,1.2613255492705187,1.26259760557204,76.78296747046872,0.00016572448137996965,0.007943940259037925,0.00012532922289439346,0.6951957266905836,0.00445098,time,0.0574,0.0574,0.24,0.076291971399355,0.9999999999825784,0.31788321416265464,1.362499999994323,0.05674149184149201,-12.051483365119646,0.07391958735763637,0.5765233253693683,0.0087509799999999,0.05675174825174842,-11.806664547573558,0.07496576720783654,0.6258183247244612,0.00255098,0.23998135198135273,0.00712923440189642,0.003515050093990778,0.5289220748727926,0.0019509799999999,0.07585569212232532,-8.092149026216463,0.048383817076438025,0.6742168277133586,0.0091509799999999,0.9997932175175899,-8.73161811675221,0.8406940509008453,0.500596922296663,0.0091509799999999,0.3160847752287004,-33.74558127211764,0.20020528415254074,0.6699079451745972,0.0091509799999999,1.3635233490302237,15.542480479178314,0.19342824795569247,0.8205154085146179,0.00135098,Single
730000.0,-0.0503,0.0528,-0.00458,-0.202,0.193,0.151,0.0228,-0.00508,0.0947,0.0142,0.000201,-0.209,0.212,0.171,0.0293,0.158,0.0528,0.17,0.24,0.0,0.01455098,1.28517132565877,1.2764895652396202,1.2785076305856031,76.69347085094351,0.0066636950731668865,0.00836393302479061,0.00012695396212446835,0.7042080842529247,0.00445098,time,0.0528,0.0528,0.24,0.07306782055049951,0.9999999999810606,0.30444925229247943,1.3666666666609724,0.05469114219114236,-12.829185814185754,0.07640765427556816,0.5959285826840165,0.0087509799999999,0.05469044289044305,-12.335494808222023,0.0773799831434173,0.6459723313944591,0.00255098,0.23997902097902168,0.02084279357012198,0.003517847296787981,0.5293429799147623,0.0019509799999999,0.07434901278336917,-8.269455688357922,0.05001997754789628,0.6970163294755661,0.0091509799999999,1.0001006190442459,-23.974309949768532,0.8439646437074989,0.502544418762639,0.0091509799999999,0.3098163348179977,-34.503963889996875,0.20703023866875558,0.6927449610666652,0.0091509799999999,1.366300273407555,15.450184503955326,0.19652751445400737,0.8336623813266916,0.00135098,Single
740000.0,-0.0501,0.0538,-0.00443,-0.205,0.197,0.151,0.0229,-0.0177,0.099,0.0137,0.000188,-0.203,0.21,0.171,0.0292,0.158,0.0538,0.17,0.24,0.0,0.0147509799999999,1.29824878616255,1.2945875317624078,1.2922904220943114,76.16892119624768,0.005958364068238575,0.01038762254020156,0.00012884485401675025,0.7146967790105385,0.00445098,time,0.0538,0.0538,0.24,0.07364831905753179,0.9999999999814126,0.3068679960717705,1.3666666666609724,0.052551282051282205,-13.666598855689621,0.07905723274255437,0.6165935220217246,0.0087509799999999,0.05255827505827522,-12.87856083310615,0.07990138870754886,0.6670211629460795,0.00255098,0.24008391608391683,0.03025762116695117,0.0035229573382616858,0.5301119060087541,0.0019509799999999,0.07288185882083242,-8.45134917097706,0.05169205803382894,0.7203163679807117,0.0091509799999999,0.9999441887301646,-41.920685813833785,0.8505541432838558,0.5064681805685716,0.0091509799999999,0.303559285531202,-35.27487013019151,0.21400812207077094,0.7160936931008827,0.0091509799999999,1.3684721775145992,15.420406137768653,0.19961457351817824,0.8467575706587437,0.00135098,Single
750000.0,-0.0506,0.0495,-0.00457,-0.208,0.204,0.152,0.023,-0.0159,0.0973,0.0148,0.000219,-0.215,0.219,0.172,0.0297,0.159,0.0496,0.171,0.24,0.0,0.01495098,1.31135050834176,1.3103029075663155,1.3072366042567305,76.2978960160494,0.0041139040850295405,0.010457577046372783,0.00013092184492302837,0.7262177568724729,0.00445098,time,0.0495,0.0496,0.24,0.0709330310927145,0.9979838709476214,0.2955542962184123,1.374999999994271,0.04979696969696985,-14.490667362940101,0.08187295936441877,0.638554305805789,0.0087509799999999,0.049808857808857965,-13.323411437047811,0.08252158593456557,0.6888947127026391,0.00255098,0.2400000000000007,0.04925377652632621,0.0035309084780310177,0.5313083422563025,0.0019509799999999,0.07095884289030363,-8.555838068602673,0.05339277675778777,0.744015473429311,0.0091509799999999,0.9999621661516962,-66.51530097816389,0.8613977419630611,0.5129250742739732,0.0091509799999999,0.29566184537503315,-35.73255451152954,0.22110886453494663,0.7398535244835828,0.0091509799999999,1.3733974358917176,15.304801947439515,0.20268709432670062,0.8597910892529456,0.00135098,Single
760000.0,-0.0503,0.0488,-0.00439,-0.202,0.199,0.152,0.0231,-5.85e-05,0.0886,0.0138,0.000191,-0.208,0.215,0.172,0.0296,0.159,0.0488,0.171,0.24,0.0,0.01515098,1.32046846886779,1.3255749676885227,1.32157606898031,77.3824961576102,-0.0011076001125200907,0.01031688733834569,0.00013301975472122641,0.7378547709144297,0.00445098,time,0.0488,0.0488,0.24,0.07021967032107172,0.9999999999795082,0.29258195966991307,1.374999999994271,0.04652331002331017,-15.229883752610919,0.08484501447597385,0.6617343472176105,0.0087509799999999,0.04658717948717963,-13.663186813186707,0.085220245759589,0.7114232725186831,0.00255098,0.2400000000000007,0.0707322980053172,0.003542907085484182,0.5331138153448827,0.0019509799999999,0.06888049086362245,-8.580363373383555,0.05510639690198638,0.7678943570589766,0.0091509799999999,0.9984762683672188,-93.11123790155119,0.8773603958510325,0.5224301438048481,0.0091509799999999,0.2870020452638978,-35.854739940093516,0.2282675939801089,0.7638073864057067,0.0091509799999999,1.3769133644076317,15.154815875501107,0.20573305610899467,0.8727119454491481,0.00135098,Single
770000.0,-0.0506,0.0429,-0.00464,-0.203,0.194,0.152,0.0232,-0.0155,0.0883,0.0151,0.000227,-0.207,0.209,0.173,0.0298,0.159,0.0429,0.172,0.24,0.0,0.01535098,1.34136314512186,1.3352303399760364,1.3366736456500987,79.70514837832249,0.004689499471761227,0.011839753841154816,0.00013520148179433402,0.749956715720292,0.00445098,time,0.0429,0.0429,0.24,0.06650037293128513,0.99999999997669,0.27708488721253355,1.37916666666092,0.04457365967365981,-15.760041019586438,0.0879440069531936,0.6859044151539653,0.0087509799999999,0.0443706293706295,-13.805910755910737,0.08796715551649875,0.7343546254050287,0.00255098,0.24008391608391683,0.09962764508181689,0.0035599430797928953,0.535677281928955,0.0019509799999999,0.06744357311406897,-8.462114471180584,0.0568106446864428,0.7916426391149056,0.0091509799999999,1.0120870691952957,-121.24942315989448,0.8987964619571771,0.5351943934238208,0.0091509799999999,0.2809358697333885,-35.38543744914982,0.23539161171903325,0.7876450993066008,0.0091509799999999,1.379647821953795,14.816948445410166,0.2087302325410858,0.8854258560106032,0.00135098,Single
780000.0,-0.0508,0.0393,-0.00464,-0.203,0.193,0.153,0.0233,-0.0208,0.0844,0.0158,0.00025,-0.212,0.209,0.174,0.0302,0.16,0.0395,0.173,0.24,0.0,0.01555098,1.34095451134586,1.357257893674004,1.3506561251235065,82.06563777342926,-0.009701613777646445,0.013281704955646772,0.00013778471097799318,0.7642857752011403,0.00445098,time,0.0393,0.0395,0.24,0.06439456188219624,0.9949367088355713,0.26831067450803303,1.3874999999942186,0.040671794871794995,-16.1666315502678,0.09113667421017903,0.7108050836992286,0.0087509799999999,0.04076363636363649,-13.844762812944547,0.09073222287338428,0.7574375589290587,0.00255098,0.23997902097902168,0.1255108527833985,0.003582456929579417,0.5390650208868775,0.0019509799999999,0.06525561797820159,-8.276158320988971,0.05848447196565976,0.8149670187633916,0.0091509799999999,0.9976551495918514,-148.68940958608167,0.9257903452317748,0.5512680826257595,0.0091509799999999,0.2719181628015557,-34.62893211582536,0.2423930486755308,0.8110726440122795,0.0091509799999999,1.383484994776305,14.407011790184253,0.21165262856464526,0.8978225508700927,0.00135098,Single
790000.0,-0.0508,0.0375,-0.00444,-0.204,0.198,0.153,0.0235,-0.0299,0.0833,0.0162,0.000262,-0.212,0.209,0.173,0.03,0.161,0.0377,0.172,0.24,0.0,0.01575098,1.38545612680279,1.3700628932768035,1.3663430614189351,85.6809537259407,0.019113065383854932,0.012617078110642695,0.00014042627165174578,0.7789383969103972,0.00445098,time,0.0375,0.0377,0.24,0.06329773771628809,0.9946949601858172,0.26374057381676813,1.3874999999942186,0.03641678321678333,-16.321428420064645,0.09438548020721228,0.7361435968571496,0.0087509799999999,0.03687762237762249,-13.692675506311774,0.09348596670530993,0.7804259630474104,0.00255098,0.23989743589743662,0.1501528774253328,0.00361002330260029,0.5432130309649824,0.0019509799999999,0.06288552391348794,-7.978638958158356,0.06010995169357449,0.8376176869389858,0.0091509799999999,0.9817947509091987,-173.41159291285746,0.9580004454816688,0.5704478032800046,0.0091509799999999,0.2621195941548866,-33.40585001845365,0.2491965268889587,0.8338377979356146,0.0091509799999999,1.3869432171675653,13.899308172303012,0.21448326056089398,0.9098299861506345,0.00135098,Single
800000.0,-0.0512,0.0328,-0.00441,-0.204,0.198,0.153,0.0234,-0.0342,0.0767,0.016,0.000256,-0.217,0.216,0.174,0.0304,0.16,0.0332,0.173,0.24,0.0,0.01595098,1.37303604297624,1.388344953593165,1.38239003589666,91.93909900863004,-0.009353992920420051,0.012681770269836117,0.00014295292334507286,0.7929536235229218,0.00445098,time,0.0328,0.0332,0.24,0.06096497437053509,0.9879518071991582,0.2540207265428378,1.3874999999942186,0.0338720745920747,-16.215113068749236,0.09763913435609366,0.761519922355822,0.0087509799999999,0.03401864801864812,-13.37906790179503,0.09619314104612059,0.8030256025069272,0.00255098,0.23983916083916157,0.1658493022128519,0.003641623520564108,0.5479680280219031,0.0019509799999999,0.06118990051506118,-7.600798255550448,0.06166789541494536,0.8593272571434031,0.0091509799999999,1.0140556655745017,-192.8448557098259,0.994626090343937,0.5922567896473228,0.0091509799999999,0.25510937043975457,-31.831667397766704,0.2557202786305807,0.8556669576531442,0.0091509799999999,1.3894300260351156,13.317625065027418,0.21720495388462702,0.9213753076482777,0.00135098,Single
