TimeStep PE_total KE_total ETOT
# Fix print output for fix energy_init
0 -231110.648097497 8.05567130683244 -231102.59242619
# Fix print output for fix energy_out
166000 -231114.038496866 7.85634058648289 -231106.18215628
167000 -231114.174151545 7.83927879390858 -231106.334872751
168000 -231114.143834143 7.646306138916 -231106.497528004
169000 -231113.985009111 7.55637296651575 -231106.428636144
170000 -231113.950390276 7.71869365467957 -231106.231696621
171000 -231114.135745276 8.06058784446738 -231106.075157432
172000 -231114.311170853 8.23091795970771 -231106.080252893
173000 -231114.296359792 8.11097823649424 -231106.185381556
174000 -231114.270062778 7.87715876241164 -231106.392904016
175000 -231114.413118773 7.72988881307956 -231106.68322996
176000 -231114.522833809 7.9081604594357 -231106.61467335
177000 -231114.779039354 8.20951195590383 -231106.569527398
178000 -231114.960977044 8.38348502498897 -231106.577492019
179000 -231114.821289359 8.1107738720838 -231106.710515487
180000 -231114.498106599 7.79025586240813 -231106.707850737
181000 -231114.098945177 7.51919039678074 -231106.57975478
182000 -231114.007446639 7.52533415362238 -231106.482112485
183000 -231114.224439816 7.78633720209142 -231106.438102614
184000 -231114.398940507 8.00983589557547 -231106.389104611
185000 -231114.512782008 7.95134794118266 -231106.561434067
186000 -231114.468604827 7.74011595590999 -231106.728488871
187000 -231114.235270365 7.59620869591807 -231106.639061669
188000 -231114.210877519 7.70212464617096 -231106.508752873
189000 -231114.167590927 7.81923436888808 -231106.348356558
190000 -231113.992771402 7.83668352746817 -231106.156087875
191000 -231114.062437739 7.85804418240355 -231106.204393557
192000 -231114.032615793 7.85342928940624 -231106.179186504
193000 -231114.233520945 7.99003616911225 -231106.243484776
194000 -231114.489992432 8.14452577069244 -231106.345466661
195000 -231114.539428473 8.09613350847605 -231106.443294965
196000 -231114.39787978 7.93976233863564 -231106.458117441
197000 -231114.265331517 7.90101489653319 -231106.36431662
198000 -231114.297250975 7.93318516029194 -231106.364065815
199000 -231114.461629983 7.97898892179746 -231106.482641061
200000 -231114.470774015 7.99555707706671 -231106.475216938
201000 -231114.63789254 7.89010349498255 -231106.747789045
202000 -231114.521919376 7.67605156082947 -231106.845867815
203000 -231114.440148249 7.70381316618447 -231106.736335083
204000 -231114.325243873 7.72011214928466 -231106.605131724
205000 -231114.311065436 7.82513730684735 -231106.485928129
206000 -231114.447744587 7.89113466531991 -231106.556609922
207000 -231114.547582332 7.84637941633257 -231106.701202916
208000 -231114.390393401 7.68319837616008 -231106.707195025
209000 -231114.271290918 7.65837774746168 -231106.612913171
210000 -231114.184444617 7.84125440623125 -231106.343190211
211000 -231114.269083411 7.98057118985923 -231106.288512221
212000 -231114.164592626 8.00399073410961 -231106.160601892
213000 -231114.094021462 7.88848509234416 -231106.20553637
214000 -231114.291742959 7.86959023721004 -231106.422152722
215000 -231114.456416392 7.92893963172975 -231106.52747676
216000 -231114.664874254 8.13109070436928 -231106.53378355
217000 -231114.819798313 8.30353887226143 -231106.516259441
218000 -231114.557537446 8.03144083087746 -231106.526096615
219000 -231114.262338113 7.85929875632507 -231106.403039357
220000 -231114.222099044 7.75952716674756 -231106.462571877
221000 -231114.261859905 7.76369620138395 -231106.498163704
222000 -231114.487016706 7.92988843135636 -231106.557128275
223000 -231114.568755952 7.94911543003324 -231106.619640522
224000 -231114.593804811 7.87644865245064 -231106.717356159
225000 -231114.400731019 7.72931009455621 -231106.671420924
226000 -231114.116095659 7.60410005305088 -231106.511995606
227000 -231114.170303704 7.74640934969011 -231106.423894354
228000 -231114.189769332 7.82572846231669 -231106.36404087
229000 -231114.260348714 7.83480561875356 -231106.425543095
230000 -231114.314258091 7.8133739644307 -231106.500884127
231000 -231114.308161716 7.84788123176522 -231106.460280484
232000 -231114.175166998 7.7572946315786 -231106.417872366
233000 -231114.299133132 7.98065881409017 -231106.318474318
234000 -231114.313362724 8.08024158799538 -231106.233121136
235000 -231114.171966413 7.98532064487372 -231106.186645768
236000 -231114.351284297 8.0007772623734 -231106.350507035
237000 -231114.62686207 8.15934900422184 -231106.467513066
238000 -231114.765545573 8.20494265296852 -231106.56060292
239000 -231114.718611525 8.06734526504349 -231106.65126626
240000 -231114.502464481 7.89716935339607 -231106.605295128
241000 -231114.244545113 7.68963047103692 -231106.554914642
242000 -231113.974429769 7.59155723154605 -231106.382872537
243000 -231113.985204382 7.68060012757427 -231106.304604254
244000 -231114.300493606 7.91587145897298 -231106.384622147
245000 -231114.3291613 7.86570635480042 -231106.463454945
246000 -231114.332749613 7.89420185293152 -231106.43854776
247000 -231114.127876118 7.70337389848732 -231106.42450222
248000 -231113.943599956 7.64118190087611 -231106.302418055
249000 -231114.129176835 7.91257864639886 -231106.216598189
250000 -231114.187610012 8.0000832239173 -231106.187526788
251000 -231114.256764611 7.9823704294927 -231106.274394181
252000 -231114.298333197 7.8861922421558 -231106.412140955
253000 -231114.088901004 7.65091503755695 -231106.437985966
254000 -231114.10358926 7.82204734376787 -231106.281541916
255000 -231114.095166056 7.97769530938369 -231106.117470747
256000 -231114.23190754 8.13049029661806 -231106.101417243
257000 -231114.394232977 8.18720233549057 -231106.207030642
258000 -231114.365446353 8.01033714202378 -231106.355109211
259000 -231114.265111341 7.84480528605615 -231106.420306055
260000 -231114.329732976 7.84696432761171 -231106.482768648
261000 -231114.428609234 7.93566219759157 -231106.492947036
262000 -231114.309485427 7.90579260376419 -231106.403692823
263000 -231114.210603787 7.81367101315828 -231106.396932774
264000 -231114.103215925 7.73484916170948 -231106.368366763
265000 -231114.060995516 7.72904286944856 -231106.331952647
266000 -231114.03986472 7.76417362154166 -231106.275691098
267000 -231114.072953985 7.82487320356647 -231106.248080781
268000 -231114.11453291 7.86959859542277 -231106.244934315
269000 -231113.990339547 7.84133560820687 -231106.149003939
