TimeStep PE_total KE_total ETOT
# Fix print output for fix energy_init
0 -231098.589417314 7.8587111272155 -231090.730706187
# Fix print output for fix energy_out
340000 -231101.281416226 7.95253572825307 -231093.328880498
341000 -231101.28284213 7.91590221264546 -231093.366939917
342000 -231101.311950418 7.98034266531306 -231093.331607753
343000 -231101.224178199 7.95530926892969 -231093.26886893
344000 -231101.151867768 7.91574244582722 -231093.236125322
345000 -231101.130415842 7.90521143416497 -231093.225204408
346000 -231101.187837934 7.94959991585243 -231093.238238018
347000 -231101.131633896 7.95195199181682 -231093.179681904
348000 -231101.164558898 7.98446266239844 -231093.180096236
349000 -231101.148883496 7.95019333643075 -231093.19869016
350000 -231101.143462893 7.94181510260623 -231093.20164779
351000 -231101.070719208 7.87948592260823 -231093.191233285
352000 -231101.117482996 7.95214103893367 -231093.165341957
353000 -231101.095744684 7.96473183632936 -231093.131012848
354000 -231100.998589105 7.89892472692953 -231093.099664378
355000 -231101.047699418 7.98819721425749 -231093.059502204
356000 -231101.06584222 7.98768299912972 -231093.078159221
357000 -231101.052275247 7.99069867062376 -231093.061576576
358000 -231101.036604742 7.99989603966431 -231093.036708702
359000 -231100.950828277 7.92990894360769 -231093.020919333
360000 -231101.06350186 8.0129295017645 -231093.050572358
361000 -231101.032480781 7.98281726574734 -231093.049663515
362000 -231101.024497067 7.94217909972032 -231093.082317967
363000 -231101.010635077 7.87502748270407 -231093.135607594
364000 -231100.975272612 7.9373257826397 -231093.037946829
365000 -231100.920027778 7.91144213921016 -231093.008585639
366000 -231100.818411659 7.84392172370817 -231092.974489935
367000 -231100.856157177 7.90405825484494 -231092.952098922
368000 -231100.862130172 7.96031552464425 -231092.901814647
369000 -231100.819083776 7.9420575742042 -231092.877026202
370000 -231100.810993556 7.93012265712494 -231092.880870899
371000 -231100.887427713 8.00294014892579 -231092.884487564
372000 -231100.811746237 7.9400793196535 -231092.871666917
373000 -231100.815728771 7.96318085096852 -231092.85254792
374000 -231100.818082911 7.97362456405368 -231092.844458347
375000 -231100.759409205 7.9215397876836 -231092.837869417
376000 -231100.776341896 7.96929210231539 -231092.807049794
377000 -231100.766734578 7.94918289470738 -231092.817551683
378000 -231100.80695984 7.99761043413032 -231092.809349406
379000 -231100.671449342 7.87667960364671 -231092.794769738
380000 -231100.646677175 7.91615217787292 -231092.730524997
381000 -231100.712991076 7.98827794987277 -231092.724713126
382000 -231100.726045182 7.98708502910024 -231092.738960153
383000 -231100.728135884 7.97215054324925 -231092.755985341
384000 -231100.682950734 7.95720834471923 -231092.725742389
385000 -231100.686658274 7.9327315644732 -231092.75392671
386000 -231100.675841711 7.95477344999867 -231092.721068261
387000 -231100.61685479 7.91906215794273 -231092.697792632
388000 -231100.691496564 8.00517859869966 -231092.686317965
389000 -231100.628149241 7.98706888688188 -231092.641080354
390000 -231100.520921509 7.90117642869199 -231092.61974508
391000 -231100.544793597 7.93179644380737 -231092.612997153
392000 -231100.516278284 7.92948861787273 -231092.586789666
393000 -231100.555921666 7.99881990078928 -231092.557101765
394000 -231100.569523118 7.98298495855676 -231092.586538159
395000 -231100.536417619 7.9827071541567 -231092.553710465
396000 -231100.514586006 7.99926459800666 -231092.515321408
397000 -231100.438652466 7.92355045065699 -231092.515102015
398000 -231100.523754172 8.01009429062661 -231092.513659881
399000 -231100.395706765 7.88681505915608 -231092.508891706
400000 -231100.42158132 7.92254282872497 -231092.499038491
401000 -231100.445009905 7.98058347148741 -231092.464426434
402000 -231100.470415288 8.01840184515113 -231092.452013443
403000 -231100.421264056 7.99439403310639 -231092.426870023
404000 -231100.417138944 7.97883583218633 -231092.438303112
405000 -231100.367949027 7.94315285981247 -231092.424796167
406000 -231100.401263237 8.00833651246106 -231092.392926725
407000 -231100.22818352 7.84233588791393 -231092.385847632
408000 -231100.398918741 8.03238476778537 -231092.366533973
409000 -231100.360617857 7.97514782587536 -231092.385470031
410000 -231100.320136626 7.95126730459183 -231092.368869321
411000 -231100.29590623 7.94257131415134 -231092.353334916
412000 -231100.263533912 7.91737545962238 -231092.346158452
413000 -231100.241502266 7.9486115278754 -231092.292890738
414000 -231100.267871599 8.00897495913637 -231092.25889664
415000 -231100.226642043 7.95832387813781 -231092.268318165
416000 -231100.205568165 7.97665380337833 -231092.228914362
417000 -231100.249213915 8.01660306154885 -231092.232610853
418000 -231100.119204082 7.86736152111241 -231092.251842561
419000 -231100.125086441 7.93458488637646 -231092.190501555
420000 -231100.157578515 7.98011147397324 -231092.177467041
421000 -231100.134489273 7.96412080341271 -231092.17036847
422000 -231100.092589146 7.91513978819799 -231092.177449358
423000 -231100.086013364 7.90666001526127 -231092.179353349
424000 -231100.024227963 7.87674078418438 -231092.147487179
425000 -231100.128596239 7.99473185525779 -231092.133864384
426000 -231100.079827287 7.97433795306065 -231092.105489334
427000 -231100.059460342 7.98199307498767 -231092.077467267
428000 -231100.056630764 7.95345262451533 -231092.103178139
429000 -231100.004236023 7.94855276426368 -231092.055683259
430000 -231100.033980578 7.97163732786601 -231092.06234325
431000 -231100.040742579 7.97817793118397 -231092.062564648
432000 -231100.03228023 7.98832735857052 -231092.043952871
433000 -231099.945213908 7.90447939744064 -231092.040734511
434000 -231100.068976726 8.04104938086167 -231092.027927345
435000 -231100.015091216 7.99141594498636 -231092.023675271
436000 -231099.990147089 7.99090434195701 -231091.999242747
437000 -231099.966954296 7.96271040490584 -231092.004243891
438000 -231100.044170339 8.03867140650704 -231092.005498932
439000 -231099.888497925 7.88665502925384 -231092.001842896
440000 -231099.974406526 7.98346245186142 -231091.990944074
441000 -231099.954750137 7.97879252188232 -231091.975957615
442000 -231099.947405182 7.97264651408651 -231091.974758668
443000 -231100.014491343 8.0603187134165 -231091.95417263
444000 -231100.022358198 8.05996662317254 -231091.962391575
445000 -231099.977475458 8.01450578562769 -231091.962969672
446000 -231099.849431566 7.87917355744897 -231091.970258009
447000 -231099.961284212 8.01104747777423 -231091.950236734
448000 -231099.906042455 7.95445769042216 -231091.951584765
449000 -231099.82822618 7.87310653240877 -231091.955119648
450000 -231099.834668516 7.88698517395323 -231091.947683342
451000 -231099.852780421 7.92772844955465 -231091.925051971
452000 -231099.746155793 7.85257189723391 -231091.893583896
453000 -231099.866871968 8.0059436366027 -231091.860928331
454000 -231099.854563558 8.01804605601011 -231091.836517502
455000 -231099.770650424 7.91278388113383 -231091.857866543
456000 -231099.819974492 7.97370927783087 -231091.846265214
457000 -231099.696581843 7.87706805627655 -231091.819513787
458000 -231099.759575298 7.95227758122493 -231091.807297717
459000 -231099.804478544 8.04683222924249 -231091.757646315
460000 -231099.76023021 8.00997914950323 -231091.75025106
461000 -231099.746358977 7.98965979122549 -231091.756699186
462000 -231099.702180304 7.94869620464822 -231091.753484099
463000 -231099.727351327 7.97780966057512 -231091.749541666
464000 -231099.676136462 7.94186826035883 -231091.734268202
465000 -231099.682189106 7.97466783103958 -231091.707521275
466000 -231099.689670614 8.02018583704991 -231091.669484777
467000 -231099.640192551 7.9924522767996 -231091.647740274
