TimeStep simtime s1 s2 s3 p1 p2 p3 Px Py Pz
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -17.6239800557732 -10.7071638827018 -13.624738012858
# Fix print output for fix pout0
470000 23.3775 0.00401703125052597 -0.00935098000000001 0.00407902600550887 0.000154903692211551 -0.690275147908221 -0.00347511866856278 -18.0974716041059 -10.2528777477735 -13.7829362564773
475000 23.6275 0.00404305324306418 -0.00945097999999996 0.00413064195665594 -0.00230272185859198 -0.704326140125708 -0.00363206529340796 -18.1037524397855 -10.0625746275856 -13.7928740795308
480000 23.8775 0.00406184378181028 -0.00955097999999996 0.00420416451885376 -0.00106047587152846 -0.718272224452518 -0.00299024715406982 -18.0912909062348 -9.98719672037099 -13.7932908900664
485000 24.1275 0.00410546304629395 -0.00965098 0.00424909856810341 -0.00171940286235209 -0.723839172111994 -0.0019685265867674 -18.1175580875516 -9.96851099912302 -13.7887040288001
490000 24.3775 0.00419024496102269 -0.00975098000000001 0.00426924059495522 -0.000755497923964913 -0.732243824893976 -0.00438705858765703 -18.1154361240445 -9.8071390641827 -13.7922052453599
495000 24.6275 0.00419863627072773 -0.00985097999999996 0.00430696616648087 -0.00212325065710651 -0.753280562387108 -0.00271097138385948 -18.1205291810498 -9.87880058016505 -13.7926871927153
500000 24.8775 0.00424711958737866 -0.00995097999999996 0.00438622901172518 -0.000495784688814125 -0.746284098136858 -0.00381788592357248 -18.1407884492469 -9.68349844080316 -13.789586918568
505000 25.1275 0.00433123243955696 -0.01005098 0.00438866526158783 -0.00129815247386928 -0.764930709898995 -0.00336165761151969 -18.139219125188 -9.70595482816541 -13.7977948494524
510000 25.3775 0.00429455528710449 -0.01015098 0.00448981277924584 -0.00175167489089387 -0.784932793355397 -0.00285890621159548 -18.1282847416967 -9.64161811178977 -13.8010979253822
515000 25.6275 0.00439434388833627 -0.01025098 0.00452641634435112 -0.000842368215406928 -0.782387055412831 -0.00339269816267208 -18.1510429916223 -9.47199872102525 -13.803764408641
520000 25.8775 0.00436253838506366 -0.01035098 0.00462209104000679 -0.00189066091572298 -0.794612103751679 -0.00207488364929098 -18.1535110213261 -9.45936779254857 -13.7984468139622
525000 26.1275 0.00446618120034304 -0.01045098 0.00460143209926267 -0.00151728504138199 -0.805981682050788 -0.00335042377089947 -18.1504626881837 -9.44235372489053 -13.8102290209638
530000 26.3775 0.00454946020709426 -0.01055098 0.00461654472430966 -0.000528087467225327 -0.812206926201048 -0.00432666050565478 -18.1711004734661 -9.13673097393585 -13.7920496301352
535000 26.6275 0.00454810852954339 -0.01065098 0.00469530934604633 -0.00235847770225718 -0.829971612791012 -0.00332236744290604 -18.1654781777655 -8.68814809119903 -13.8114668293296
540000 26.8775 0.00457767442870675 -0.01075098 0.00475933299201935 -0.000260750996332524 -0.856349301484263 -0.0029024450000048 -18.1617827944589 -8.21484041999364 -13.8215571235422
545000 27.1275 0.00463611482504029 -0.01085098 0.0047755477245471 -0.00172682413252268 -0.886564653731806 -0.00237433206592687 -18.1746356885393 -7.68941551410053 -13.8015196823077
550000 27.3775 0.00467154044349015 -0.01095098 0.00480008330986738 -0.00180309046983185 -0.911228639276141 -0.0034914806297484 -18.1676835023202 -7.34090875487461 -13.8182539483679
555000 27.6275 0.00474466190651647 -0.01105098 0.00484120268238734 -0.00096246348300531 -0.916728790815674 -0.003012859739381 -18.1731164942945 -6.97482221143198 -13.8171213950276
560000 27.8775 0.00475412690017723 -0.01115098 0.00491554877501373 -0.000575608112424295 -0.948567419896896 -0.00367747274720659 -18.183505538201 -6.66728575303357 -13.8065492384232
565000 28.1275 0.00480911660858294 -0.01125098 0.00492052751907273 -0.00204179337689486 -0.952117045999962 -0.00279772992100232 -18.1715761152941 -6.29618971675827 -13.8118237795478
570000 28.3775 0.00488019214964451 -0.01135098 0.00493215866470848 -0.00140302609285821 -0.985430358261456 -0.00341771871482477 -18.1775855349749 -5.64351454017676 -13.8143804097401
575000 28.6275 0.00484242381545786 -0.01145098 0.00501435834738526 -0.00162126958361354 -1.04503321211742 -0.00395941223645087 -18.1600782493203 -4.9395017830173 -13.7948714872235
580000 28.8775 0.00488984032062639 -0.01155098 0.00508277933350014 -0.00181906056619404 -1.05536204236339 -0.00256730813946176 -18.1511891541009 -4.92418445798952 -13.8010609040101
585000 29.1275 0.00498991851353853 -0.01165098 0.00507998054321746 -0.00028312047724387 -1.06169729159633 -0.00327824736582742 -18.176055118504 -5.00922121120941 -13.8154226727224
590000 29.3775 0.0050559900313355 -0.01175098 0.00510492760228205 -0.00134667601570243 -1.05647822065624 -0.00260556877094383 -18.1923703795695 -5.17563808644184 -13.8025166734979
595000 29.6275 0.00504757672728257 -0.01185098 0.00520284613799857 -0.000631474628684998 -1.07244949943678 -0.00423045295845721 -18.1744798752184 -5.19003072332178 -13.8062764057485
600000 29.8775 0.00509189076221069 -0.0119509799999999 0.00526674430888549 -0.00294324872449895 -1.0819985290612 -0.00209792809182196 -18.1875615391196 -5.23417208256513 -13.8228393705507
605000 30.1275 0.00511669779293599 -0.01205098 0.00528768669263242 -0.000859372990048051 -1.09320108700696 -0.00411786391933093 -18.1885020364942 -5.31946347596544 -13.8048185557979
610000 30.3775 0.00527719144797749 -0.01215098 0.00529130613897926 -0.000390785442048381 -1.07834128713616 -0.00270430622974993 -18.2263477545926 -5.51920779229775 -13.8094295624654
615000 30.6275 0.00520907900769485 -0.01225098 0.00541044062321633 -0.00227299462788457 -1.10462719259274 -0.00281431619102828 -18.1997073809618 -5.48498967427548 -13.8152616498882
620000 30.8775 0.00526328164915873 -0.0123509799999999 0.0054315608088389 -0.00113911809807204 -1.12133162431681 -0.00362373043211511 -18.2031083315903 -5.50461033309993 -13.8126316960899
625000 31.1275 0.00536262357084085 -0.01245098 0.00546773659017482 -0.00161841992250981 -1.11930463495718 -0.00308926794285548 -18.2291555460286 -5.62929731637051 -13.813833570847
