TimeStep simtime s1 s2 s3 p1 p2 p3 p1_abs p2_abs p3_abs p1_vir p2_vir p3_vir Px Py Pz
0 0.0 0.0 0.0 0.0 -6.02938143856591e-14 -2.28294538828777e-13 3.68913788406644e-14 -0.0169156277237318 -0.0288217557331112 -0.0137864128990802 -0.0116042936287732 -0.0230097555733488 -0.00861311745645912 1.22710346651529 29.9268878580328 0.0174064850543818
# Fix print output for fix pout0
125000 6.1275 0.00234082367062913 -0.00245097999999992 -4.72322622527689e-06 0.0168991117137923 -0.075578369778314 0.0143866420081273 -1.65160098792357e-05 -0.104400125511197 0.000600229109010215 0.00532016584114856 -0.0985609102543611 0.00571592153411131 -0.147706777597642 28.7538258646549 -0.0377478040455642
130000 6.3775 0.00218723027226867 -0.00255097999999983 0.000237246602281239 0.016286059022455 -0.0817075829045304 0.0146189801758497 -0.000629568701216452 -0.110529338637413 0.000832567276732617 0.00483375617944506 -0.105065011969945 0.0063314630148462 -0.0456695071083718 28.7102054646874 -0.0128545362259453
135000 6.6275 0.00265144670305744 -0.00265097999999983 -9.7447808080609e-05 0.0180866670716238 -0.0735963856566616 0.0118732068794496 0.00117103934795233 -0.102418141389545 -0.00191320601966749 0.00647773996046834 -0.096852947967241 0.00365307673905545 -0.332817613161716 28.6480025739726 0.0411283920230194
140000 6.8775 0.00226805438300627 -0.00275097999999994 0.000357304329544453 0.0154330870857471 -0.078213821150808 0.0158339449082175 -0.00148254063792441 -0.107035576883691 0.00204753200910039 0.0036316211214966 -0.101326347981085 0.00726055274739769 -0.0958236691802964 28.5820234459281 0.0316614515990895
145000 7.1275 0.00283488211504595 -0.00285097999999979 -8.10127828422895e-05 0.0183484887483121 -0.0686139769712801 0.0122816917427461 0.00143286102464056 -0.097435732704163 -0.00150472115637103 0.00671031921934055 -0.0917460787293132 0.00366590816668344 -0.434599506688693 28.4994516487061 0.00285678611168976
150000 7.3775 0.00267477986844249 -0.00295097999999986 0.000123448108925304 0.0154764382100197 -0.0806580309540473 0.014933923263615 -0.00143918951365182 -0.10947978668693 0.00114751036449795 0.00395166224404012 -0.103678332775087 0.00655826012898436 -0.34716475576761 28.480700543518 -0.0166572929399251
155000 7.6275 0.00312095499620579 -0.00305097999999994 -0.000236289863441233 0.0184222228100152 -0.0861752815579807 0.0128925700155863 0.00150659508634365 -0.114997037290864 -0.000893842883530805 0.00686316323407569 -0.109465679024874 0.00461731967060256 -0.579340553692216 28.4300785137849 -0.0301584227414964
160000 7.8775 0.0028507932318206 -0.00315097999999978 8.46313349103503e-05 0.0148938995461035 -0.100552641527233 0.0144842873162472 -0.00202172817756803 -0.129374397260116 0.000697874417130115 0.00331266307718924 -0.123843726350843 0.00595398852246026 -0.426849423464258 28.4120009008978 -0.0170435551863497
165000 8.1275 0.00328099473879756 -0.00325097999999988 -0.000204095663320798 0.0191650259191582 -0.102706485277309 0.0130889320068253 0.00224939819548673 -0.131528241010192 -0.000697480892291784 0.00756308501047836 -0.125850422544045 0.00451534914256158 -0.662816325937116 28.3818239910186 0.00908011489137926
170000 8.3775 0.0028566270870139 -0.00335097999999989 0.000271797252372002 0.0153170153914978 -0.111487194742799 0.0146405655259804 -0.00159861233217371 -0.140308950475682 0.000854152626863275 0.00367766431331688 -0.134495078334303 0.00629491651650974 -0.400333529325475 28.330144149747 0.0399909900149973
175000 8.6275 0.003176113070744 -0.0034509799999998 0.000100601693864672 0.0176571394324151 -0.102263884090166 0.0132592869261811 0.000741511708743567 -0.131085639823049 -0.000527125972935991 0.00610942645310512 -0.125489499639951 0.00494340227427167 -0.599802508480806 28.2603865244112 0.0226578659548818
180000 8.8775 0.00304180660718686 -0.00355097999999991 0.000320546706583723 0.0168718894168199 -0.10736378293357 0.013901317564603 -4.37383068516065e-05 -0.136185538666453 0.000114904665485907 0.00527466930258595 -0.13063945215344 0.0054327505518539 -0.518760800650825 28.2152876697973 -0.00758357725772088
185000 9.1275 0.00326836748578774 -0.00365097999999985 0.000202310968541234 0.0164130473698781 -0.097790087293274 0.0142344169750959 -0.000502580353793423 -0.126611843026157 0.000448004075978753 0.00478766602655148 -0.120993983014147 0.00560794852961209 -0.652698600590328 28.1146194276417 -0.0322789075089877
190000 9.3775 0.0034903134017456 -0.00375097999999982 5.21563668201932e-05 0.0179233235397598 -0.103800718329095 0.0131576631727002 0.00100769581608826 -0.132622474061978 -0.000628749726416903 0.0063513701566832 -0.12686513971524 0.00483079961723266 -0.778857192162737 28.0786593191123 -0.0123860918020626
195000 9.6275 0.00346225511628413 -0.00385097999999993 0.000141842645816568 0.0157779667972694 -0.117405198940591 0.0143135130608565 -0.00113766092640208 -0.146226954673474 0.000527100161739355 0.00420713186840415 -0.140635485790088 0.00602313573550302 -0.748406952743578 28.067393096366 -0.00173791828105413
200000 9.8775 0.00370847150868784 -0.00395097999999981 -1.53337914784863e-05 0.0177429738352088 -0.118151781900459 0.013781984185499 0.000827346111537321 -0.146973537633342 -4.42871361809077e-06 0.00603485162762141 -0.141270117073908 0.00520864133833734 -0.884098969165341 27.9991125834089 0.00870925969323982
205000 10.1275 0.00370827518741604 -0.00405097999999985 4.71764513505526e-05 0.0165695855597618 -0.134348740429532 0.0134010803339104 -0.000346042163909681 -0.163170496162414 -0.000385332565206694 0.00489597226939089 -0.157423892537735 0.00480723785483915 -0.881790647372435 27.9898629586839 0.032105359543921
210000 10.3775 0.00368749232740004 -0.00415097999999994 0.000208948349945654 0.0176993252226142 -0.134287541931125 0.0140050168681699 0.000783697498942688 -0.163109297664008 0.000218603969052791 0.00617543073173977 -0.157554942038235 0.00572931750083175 -0.845795499526754 27.9518557557785 -0.0188714055224319
215000 10.6275 0.00361529049457845 -0.00425097999999978 0.000361661242770079 0.0156325582589288 -0.130648777674864 0.0146440144049257 -0.00128306946474275 -0.159470533407746 0.000857601505808572 0.00409946059222846 -0.153970255568818 0.00641797618841259 -0.814212990033656 27.8660405187129 -0.0175051009528436
220000 10.8775 0.00381265162459136 -0.00435097999999988 0.000266706442724804 0.0180504109313118 -0.134237192629915 0.0118807329659466 0.00113478320764029 -0.163058948362798 -0.0019056799331705 0.00648541397462846 -0.157280426374253 0.00330300931714045 -0.923031193803876 27.8237375914805 -0.0131836068453221
225000 11.1275 0.00377426959974123 -0.00445097999999991 0.000446269629584502 0.0164398269024626 -0.123294794420621 0.0157976905304825 -0.000475800821208885 -0.152116550153504 0.00201127763136543 0.00473657072346485 -0.146478047778916 0.00713405811749851 -0.905768152844039 27.7393671340571 0.0103867069440267
230000 11.3775 0.00397689510307576 -0.00455097999999979 0.000277335063304209 0.0163708082542785 -0.133492937953585 0.0127726956325298 -0.000544819469392986 -0.162314693686468 -0.00101371726658725 0.00477274380350632 -0.156611233652344 0.00436149656328088 -1.01683528735568 27.6882224824194 0.0128064642874319
235000 11.6275 0.00427115852654061 -0.0046509799999999 6.20294721029075e-05 0.0180210821468285 -0.137346238403634 0.0129690415941398 0.00110545442315701 -0.166167994136517 -0.000817371304977281 0.00650128036933765 -0.16066894199376 0.0048013252585396 -1.18411499873904 27.6533189409895 0.0358042749989011
240000 11.8775 0.00404248678930574 -0.00475097999999987 0.000375192349148489 0.0153180014484935 -0.147660641915443 0.0160900331575652 -0.00159762627517798 -0.176482397648326 0.00230362025844809 0.00377288275978764 -0.170913487458552 0.00762998434036088 -1.04105575010549 27.6268871454089 -0.00494832105610478
245000 12.1275 0.00450438117066916 -0.00485097999999982 -2.08659158232919e-05 0.0183215796076285 -0.156162264367325 0.0107861588554456 0.001405951883957 -0.184984020100208 -0.00300025404367155 0.00663044991631907 -0.179200212380436 0.00205904573874295 -1.29470331540639 27.5779654322278 -0.0368853555272175
250000 12.3775 0.0042450317900673 -0.00495097999999993 0.000359442597397135 0.0160222470491751 -0.154555726751036 0.0163440009864153 -0.000893380674496391 -0.183377482483919 0.00255758808729816 0.00432578952859615 -0.177442641319371 0.00789773536668324 -1.14935737810331 27.5356452934077 -0.0124464017232072
