TimeStep,e,s_raw,s_sm,s_trend,E_tan,delta_sigma_serr,S_rms,A_sigma,A_sigma_norm,e_pol,P_obs,P_sm,R_P,A_P,A_P_norm
100000,0.0019509799999999,0.117736301434357,0.12318370549504061,0.12333060980540012,57.62923760534246,-0.005594308371043119,0.003956014700504477,1.0309605492254435e-05,0.05718693147982229,0.0019509799999999,0.0206,0.02118181818181815,-1.001953220516789,0.0025360149716311072,0.019782791106210437
105000,0.00205098,0.127694841696473,0.12809012058518526,0.12855117818813763,58.35772476951497,-0.0008563364916646388,0.003592262476327743,1.0687019351096424e-05,0.05928042967442804,,,,,,
110000,0.00215098,0.130009033262754,0.13342651246276221,0.13449752459359052,59.02240193085941,-0.004488491330836508,0.0036020583686087763,1.1046735393343249e-05,0.06127575885318439,0.00215098,0.0211,0.02051082251082248,-0.8336085343228229,0.00271957114711516,0.021214664938374914
115000,0.0022509799999999,0.146120397143039,0.1394039773114228,0.14037949774525907,59.81357251421971,0.005740899397779942,0.003605420239871138,1.1407109323766885e-05,0.06327473730892975,,,,,,
120000,0.0023509799999999,0.144200652466392,0.1476175062034929,0.14648254447450057,60.503375118273716,-0.002281892008108577,0.0035859897546847543,1.176667982349468e-05,0.0652692591696884,0.0023509799999999,0.0185,0.019815584415584384,-0.7466635745207221,0.0028775983579994355,0.022447393978617912
125000,0.00245098,0.154744894797526,0.15353074691436946,0.15250393081703945,61.27803577105285,0.0022409639804865655,0.003628176778901699,1.2127388150174363e-05,0.06727009250686411,,,,,,
130000,0.00255098,0.157284613686123,0.15958064932343724,0.15862537405816557,61.99867823311339,-0.0013407603720425598,0.0033510921215167784,1.2476351595195287e-05,0.06920577749833806,0.00255098,0.0206,0.0194290043290043,-0.7073508742339848,0.003022999802874979,0.02358163271249415
135000,0.0026509799999999,0.168277511083174,0.16436652535756438,0.16505863455867736,62.633405756808976,0.003218876524496622,0.003103075363484241,1.2799059969445016e-05,0.0709958267587146,,,,,,
140000,0.0027509799999999,0.168120150814309,0.17029009367511222,0.1711579686706775,63.257939108529364,-0.003037817856368502,0.003024164140845284,1.3105421944661491e-05,0.07269520325744583,0.0027509799999999,0.0186,0.01929783549783547,-0.6986900545342093,0.003163603895751728,0.024678448555134822
145000,0.00285098,0.176108854778367,0.17599783655854537,0.17793308302024072,63.84629377240955,-0.0018242282418737266,0.002939524776826011,1.3403606390545355e-05,0.0743492193580542,,,,,,
150000,0.00295098,0.18197158512639,0.18224620051328605,0.18394925342290686,64.29199022853744,-0.0019776682965168546,0.00298353132844393,1.3699759195808852e-05,0.07599196603685629,0.00295098,0.0199,0.019427272727272696,-0.7181312194299219,0.0033052860231482122,0.02578367386378724
155000,0.0030509799999999,0.18727344281372,0.18821139733046255,0.19078988508424718,64.73370997017149,-0.0035164422705271925,0.002799416097459444,1.398890656710373e-05,0.07759585387933814,,,,,,
160000,0.0031509799999999,0.198570275907985,0.19644301455920654,0.19720520016548054,65.17849799192021,0.001365075742504468,0.0029258111073183564,1.4275167927342621e-05,0.0791837331445148,0.0031509799999999,0.019,0.019813419913419884,-0.7445859335469802,0.0034515577384458293,0.02692470135015839
165000,0.00325098,0.20184232348789,0.20411961882081997,0.20383820402121985,65.64006239203611,-0.001995880533329858,0.003101044638961833,1.4576510714656931e-05,0.08085526842712372,,,,,,
170000,0.00335098,0.211415367267445,0.21145916741078385,0.2104888145212257,66.073503370186,0.0009265527462193057,0.0029831328444090807,1.4880719588825477e-05,0.08254270176836075,0.00335098,0.0202,0.019804329004328974,-0.8020773598695723,0.003606224067787562,0.028131213030396576
175000,0.0034509799999999,0.221015538633845,0.21835012255898417,0.21714588864547513,66.38075279478768,0.003869649988369861,0.0030242705705182593,1.5181089759571543e-05,0.08420884198933652,,,,,,
180000,0.0035509799999999,0.224803370462444,0.22427347318185892,0.22363737863494143,66.80783810799596,0.0011659918275025716,0.0029887080595118304,1.548173869107305e-05,0.08587652848405017,0.0035509799999999,0.0207,0.02015757575757573,-0.8970849496823492,0.003776140298742669,0.029456685214173748
185000,0.00365098,0.229339217809631,0.23154457762018527,0.2300668304298638,67.01886179144371,-0.0007276126202327982,0.003035336331297804,1.5782940910613833e-05,0.08754728404335747,,,,,,
190000,0.00375098,0.237309986713393,0.23881140232988585,0.23650773746444576,67.30050746054293,0.0008022492489472566,0.0030765960855926723,1.6088537531458356e-05,0.08924241515480792,0.00375098,0.0197,0.019963203463203433,-0.9575757575757633,0.003961606369468573,0.03090345764079723
195000,0.0038509799999999,0.244881513995235,0.24437679457983857,0.24343795862947532,67.61205067345597,0.0014435553657596856,0.003143870776836878,1.639956087457952e-05,0.09096764805776025,,,,,,
200000,0.0039509799999999,0.255230006484341,0.2526223267901193,0.25030252740654513,68.22215041682371,0.004927479077795893,0.003126996320472983,1.6713104229445015e-05,0.09270685935581795,0.0039509799999999,0.0199,0.01996926406926404,-1.002125147579691,0.004157576459984021,0.032432169185129624
205000,0.00405098,0.260127104753047,0.2590504681750357,0.2571376259644611,68.86684239155764,0.0029894787885859087,0.0033010712692059475,1.7034507608929282e-05,0.0944896698672152,,,,,,
210000,0.00415098,0.260064323384476,0.26568810286806926,0.26405553314040175,69.65337287294334,-0.003991209755925762,0.003223271725449112,1.7360724758662037e-05,0.0962991821519797,0.00415098,0.0196,0.019602597402597375,-0.9922359026255136,0.0043570125650046415,0.0339879182042774
215000,0.0042509799999999,0.277625590140204,0.27213890150630243,0.2711198383783666,70.3914136292055,0.006505751761837375,0.003322276068509437,1.7688002148359636e-05,0.09811457554153209,,,,,,
220000,0.0043509799999999,0.27369109199376,0.2774826728076585,0.27792105699375164,71.1464216292317,-0.00422996499999162,0.0033808388969700344,1.802315789663361e-05,0.09997366984208628,0.0043509799999999,0.019,0.019173160173160144,-0.9319531118232333,0.00454943146644942,0.035488927849232396
225000,0.00445098,0.288019211147266,0.2852805329464916,0.28479480726760187,71.58474345625815,0.003224403879664106,0.0038671991139054424,1.8385559797177747e-05,0.10198389735953545,,,,,,
230000,0.00455098,0.291119624431202,0.29220942889724316,0.2918485624044816,72.06337880175677,-0.0007289379732796086,0.004070453129920109,1.878244240936902e-05,0.10418538787883486,0.00455098,0.0195,0.019043722943722915,-0.8513521110923629,0.004727761988741069,0.03688003772430069
235000,0.0046509799999999,0.296319302846224,0.2986708951404446,0.29909353152037,72.53384955846597,-0.0027742286741460065,0.004069915419649306,1.9189460836847085e-05,0.1064431013229332,,,,,,
240000,0.0047509799999999,0.310509038743623,0.306262804278956,0.30655216124924717,73.27096383288347,0.003956877494375843,0.004089908109557721,1.959745201330744e-05,0.10870621056315966,0.0047509799999999,0.0185,0.01896709956709954,-0.7740147298588912,0.004890298672836114,0.03814794398846612
245000,0.00485098,0.309634177640337,0.3126199258348187,0.31387875265644066,74.16448527114336,-0.004244575016103647,0.00412715023026635,2.0008304930299055e-05,0.11098519375315045,,,,,,
250000,0.00495098,0.322573837068458,0.3199980335243864,0.3215223420654715,75.25780515829135,0.0010514950029865133,0.004158247655727927,2.0422574824598767e-05,0.11328313076706138,0.00495098,0.0182,0.018699999999999974,-0.7167847304210888,0.005039378618864185,0.03931087775005255
255000,0.0050509799999999,0.32399350850325,0.3274883603544477,0.32922891184489245,76.45256829844224,-0.005235403341642464,0.004138651996793206,2.083741980722441e-05,0.11558425777080408,,,,,,
260000,0.0051509799999999,0.335691599306386,0.33230294230354845,0.3369977222591388,77.60739478535939,-0.0013061229527528417,0.004119591153889657,2.1250331964758554e-05,0.1178746634781642,0.0051509799999999,0.0189,0.018081385281385254,-0.6654354303705031,0.005177600634943275,0.0403891116331172
265000,0.00525098,0.340897249888199,0.341392595911474,0.34483072451355273,78.58085846702917,-0.003933474625353706,0.004561144339888027,2.1684368739447872e-05,0.12028224651444323,,,,,,
270000,0.00535098,0.349407152563637,0.34937534502719303,0.35290388817170076,79.46838644986926,-0.003496735608063739,0.0048307136973548435,2.2153961641310015e-05,0.12288705783553375,0.00535098,0.0181,0.017186147186147162,-0.5643306909540634,0.005300577247075794,0.04134842009776808
275000,0.0054509799999999,0.352332681723792,0.35954847336021634,0.36098639792652026,80.19474688726706,-0.008653716202728257,0.004829484407645295,2.2636971546559537e-05,0.12556629268853875,,,,,,
280000,0.0055509799999999,0.376287164439459,0.36794167263765254,0.3692975475218816,80.90733029862402,0.006989616917577379,0.005038138213816861,2.3130352677632646e-05,0.12830305627831073,0.0055509799999999,0.0159,0.016257142857142835,-0.4686456400742103,0.005403874880178569,0.042154217981573094
285000,0.00565098,0.376430399921561,0.37812756842619255,0.37755628472316416,81.46071548106501,-0.0011258848016031386,0.005062053220266319,2.363536224933731e-05,0.13110432232049116,,,,,,
290000,0.00575098,0.387751882505623,0.38679073180791523,0.3857630905664837,81.89122200918979,0.001988791939139256,0.005144660943465692,2.4145697957523913e-05,0.13393513220916245,0.00575098,0.0151,0.016029004329004306,-0.35290099510878437,0.00548602954369691,0.042795085076194
295000,0.0058509799999999,0.391407019192445,0.3955810644627783,0.3940659735183464,82.22734497279971,-0.0026589543259013526,0.005242627617068643,2.4665062385550107e-05,0.1368160240125302,,,,,,
