Time,Px_mean,Py_mean,Pz_mean,Px_min,Px_max,Px_std,Px_var,Py_min,Py_max,Py_std,Py_var,Pz_min,Pz_max,Pz_std,Pz_var,absPx_mean,absPy_mean,absPz_mean,absP_mean,qdiff_absmax,strain,stress_raw,stress_sm,stress_trend,delta_sigma_serr,delta_sigma_serr_sm,S_rms,A_sigma,A_sigma_norm,onset_sigma,W_tot,W_serr,phi_serr,align_method,P_parallel,O_parallel,Pmag_mean,Pvec_norm,chi_parallel,chi_vec,eta_perp,P_parallel_sm,O_parallel_sm,chi_parallel_sm,chi_vec_sm,eta_perp_sm,P_parallel_abs_sm,O_parallel_rel,chi_parallel_rel,dataset
140000.0,-0.156,0.127,-0.000769,-0.183,-0.123,0.00851,7.24e-05,0.0876,0.159,0.0107,0.000115,-0.192,0.189,0.16,0.0257,0.156,0.127,0.16,0.257,0.0,0.00275098,0.121088326,0.11544726622510806,0.11789656566063816,0.003191760339361832,0.0004289077939025764,0.02265525151087008,6.30323156564307e-05,0.14581397884265826,0.00195098,0.00018296756200321908,4.8327720813334266e-05,,time,0.127,0.127,0.257,0.20116061085858733,0.999999999992126,0.7827261122871775,0.713318284422769,0.1260303030303034,0.1260303030303034,0.9999999999920692,0.7785001528755239,0.7156521995865788,0.1260303030303034,0.9022444722505312,0.9999999999982301,Twin
150000.0,-0.159,0.123,0.000995,-0.193,-0.122,0.00915,8.37e-05,0.0841,0.154,0.0109,0.000119,-0.188,0.188,0.162,0.0263,0.159,0.123,0.162,0.258,0.0,0.00295098,0.085174504,0.10312920520346304,0.12514064409342365,-0.039966140093423655,-0.029351118591351158,0.021591025913336767,6.746481027177561e-05,0.15606776167343642,0.00195098,0.00020444624311404157,5.1849207245295636e-05,,time,0.123,0.123,0.258,0.20102484927242203,0.9999999999918698,0.7791660824482283,0.7229729729713447,0.12533100233100272,0.12533100233100272,0.9999999999920229,0.7779839767506831,0.7170587180186871,0.12533100233100272,0.8972382144282892,0.9999999999981838,Twin
160000.0,-0.156,0.125,-0.000772,-0.183,-0.12,0.00891,7.93e-05,0.0875,0.164,0.0109,0.000119,-0.189,0.191,0.162,0.0261,0.156,0.125,0.161,0.257,0.0,0.00315098,0.137472854,0.13353404863203444,0.13538795717309615,0.0020848968269038537,-0.000837899175813792,0.021443456623478414,7.178424265364101e-05,0.1660599952663547,0.00195098,0.00022769595394953932,5.558948493222792e-05,,time,0.125,0.125,0.257,0.19990396690411122,0.999999999992,0.7778364470946825,0.7171945701341239,0.12362237762237799,0.12362237762237799,0.9999999999919125,0.7769991025208944,0.7205784202575141,0.12362237762237799,0.8850062578159444,0.9999999999980733,Twin
170000.0,-0.157,0.123,-0.000531,-0.188,-0.131,0.00878,7.71e-05,0.0838,0.155,0.0106,0.000113,-0.194,0.19,0.162,0.0264,0.157,0.123,0.162,0.258,0.0,0.00335098,0.178718716,0.1668464689264067,0.1448195986454559,0.033899117354544095,0.026390128414941042,0.021714091860475335,7.611889091542641e-05,0.17608742807366992,0.00195098,0.0002580523058872016,5.899222245256064e-05,,time,0.123,0.123,0.258,0.19944493465866714,0.9999999999918698,0.7730423823949384,0.7217194570119417,0.12275524475524513,0.12275524475524513,0.9999999999918567,0.7775792979613736,0.722313613917793,0.12275524475524513,0.8787984981163645,0.9999999999980176,Twin
180000.0,-0.159,0.122,0.000402,-0.185,-0.13,0.00865,7.48e-05,0.0778,0.155,0.0111,0.000123,-0.194,0.19,0.161,0.026,0.159,0.122,0.161,0.258,0.0,0.00355098,0.153764762,0.15662816579653657,0.15405980745173076,-0.0002950454517307577,0.0033248273944812964,0.022610389693658976,8.053135398179734e-05,0.18629487150174873,0.00195098,0.00029090745771079464,6.238482909412195e-05,,time,0.122,0.122,0.258,0.20041247866338063,0.9999999999918032,0.7767925529558288,0.7239819004508506,0.12213986013986051,0.12213986013986051,0.999999999991818,0.7780469839632747,0.7239053789767911,0.12213986013986051,0.8743929912327915,0.9999999999979788,Twin
190000.0,-0.161,0.12,-0.000789,-0.192,-0.127,0.00912,8.32e-05,0.0745,0.165,0.0109,0.000119,-0.197,0.194,0.161,0.0259,0.161,0.12,0.161,0.257,0.0,0.00375098,0.137600816,0.14193585760173139,0.16209286582373697,-0.024492049823736983,-0.02275528127441943,0.02259638109696598,8.509026041439224e-05,0.1968410854427279,0.00195098,0.00032046650147464744,6.517886603029142e-05,,time,0.12,0.12,0.257,0.20080244650153045,0.9999999999916667,0.7813324766566114,0.7285067873286685,0.12070862470862509,0.12070862470862509,0.9999999999917177,0.7765195966320075,0.7268070195060413,0.12070862470862509,0.8641468502232695,0.9999999999978786,Twin
200000.0,-0.16,0.119,8.8e-05,-0.191,-0.129,0.00893,7.97e-05,0.0767,0.151,0.0104,0.000108,-0.19,0.196,0.162,0.0264,0.16,0.119,0.162,0.257,0.0,0.00395098,0.166396985,0.16958848277489152,0.17275185285733427,-0.006354867857334273,-0.0075640422531152475,0.02327122647496038,8.966470570875966e-05,0.20742324575880283,0.00195098,0.0003510985475549504,6.877834260861246e-05,,time,0.119,0.119,0.257,0.19940162422608296,0.9999999999915966,0.775881806324152,0.7301587301570744,0.11960606060606097,0.11960606060606097,0.9999999999916385,0.776731002918122,0.7289512287261117,0.11960606060606097,0.8562536503902012,0.9999999999977993,Twin
210000.0,-0.16,0.121,0.000119,-0.187,-0.127,0.00874,7.64e-05,0.0806,0.154,0.0107,0.000115,-0.188,0.188,0.162,0.0261,0.16,0.121,0.161,0.258,0.0,0.00415098,0.215747331,0.20431722332034605,0.183203884762959,0.032543446237040974,0.027651248882531607,0.0217874713312597,9.41554282919598e-05,0.2178117285698129,0.00195098,0.00038875028756317557,7.194403953325319e-05,,time,0.121,0.121,0.258,0.2006016305043406,0.9999999999917355,0.7775256996262135,0.7262443438897596,0.11830303030303066,0.11830303030303066,0.9999999999915485,0.7766415671440747,0.731812951236269,0.11830303030303066,0.8469253233147569,0.9999999999977094,Twin
220000.0,-0.162,0.117,-0.00042,-0.191,-0.13,0.00881,7.76e-05,0.0609,0.153,0.0117,0.000137,-0.193,0.19,0.163,0.0265,0.162,0.117,0.163,0.258,0.0,0.00435098,0.198395703,0.19881340893939364,0.19298419518902535,0.005411507810974658,0.009576218680579642,0.02211405753425079,9.85391473758983e-05,0.22795267794000082,0.00195098,0.00042971817679650874,7.630844289973105e-05,,time,0.117,0.117,0.258,0.19983287116988538,0.999999999991453,0.7745460122833754,0.7352941176453952,0.11734731934731969,0.11734731934731969,0.99999999999148,0.7756708194338647,0.733867158417737,0.11734731934731969,0.8400834376243593,0.9999999999976409,Twin
230000.0,-0.163,0.113,0.000383,-0.192,-0.125,0.009,8.11e-05,0.0714,0.145,0.0112,0.000125,-0.19,0.199,0.163,0.0266,0.163,0.113,0.162,0.257,0.0,0.00455098,0.17174174,0.17983081115584387,0.20164110800529186,-0.02989936800529186,-0.028965484052856923,0.02168674404001562,0.00010290580281600355,0.23805415362474708,0.00195098,0.0004673304039856861,7.967587051918403e-05,,time,0.113,0.113,0.257,0.19833846497590932,0.9999999999911504,0.7717449999032591,0.7420091324183972,0.11607226107226143,0.11607226107226143,0.9999999999913852,0.7732512593872314,0.736542529803359,0.11607226107226143,0.8309553608618049,0.9999999999975461,Twin
