TimeStep,e,s_raw,s_sm,s_trend,E_tan,delta_sigma_serr,S_rms,A_sigma,A_sigma_norm,e_pol,P_obs,P_sm,R_P,A_P,A_P_norm
120000,0.00235098,0.105568458,0.10282919462337647,0.1009071755249855,37.670307787128074,0.004661282475014503,0.022666886875446653,5.396550059845513e-05,0.12483952525856143,0.00235098,0.129,0.12829004329004312,-5.321470737055168,0.011318080620678185,0.0797953445268762
125000,0.00245098,0.122341367,0.12256699300432883,0.10538772422846324,39.43473643201004,0.01695364277153677,0.02267386960504229,5.623253842247958e-05,0.13008391144150952,,,,,,
130000,0.00255098,0.136646492,0.13144079084415566,0.10960553932423556,41.88265242485337,0.02704095267576445,0.022596463593046887,5.849605508238404e-05,0.13532015204159034,0.00255098,0.127,0.12696536796536778,-5.369581716984296,0.012387185866082132,0.08733280818804126
135000,0.00265098,0.135252234,0.1266592917878786,0.1143029497196283,44.36972834186918,0.020949284280371697,0.022736748188508012,6.076271567146178e-05,0.14056366555901814,,,,,,
140000,0.00275098,0.121088326,0.11544726622510806,0.11789656566063816,45.920961429129996,0.003191760339361832,0.02265525151087008,6.30323156564307e-05,0.14581397884265826,0.00275098,0.127,0.12636796536796518,-5.441614662393824,0.013468305504019944,0.09495497636966799
145000,0.00285098,0.101621005,0.10549857539393924,0.12101437524142288,45.555806287739,-0.019393370241422875,0.022201807441345568,6.527516860404148e-05,0.15100241764336328,,,,,,
150000,0.00295098,0.085174504,0.10312920520346304,0.12514064409342365,43.88981602429819,-0.039966140093423655,0.021591025913336767,6.746481027177561e-05,0.15606776167343642,0.00295098,0.123,0.12501731601731583,-5.536965199302875,0.014566163490189615,0.10269515415987904
155000,0.00305098,0.105215852,0.11416548143722927,0.13022190442938975,42.20210509153758,-0.025006052429389747,0.021677082550246585,6.962821569495477e-05,0.16107241284828747,,,,,,
160000,0.00315098,0.137472854,0.13353404863203444,0.13538795717309615,41.78156673078128,0.0020848968269038537,0.021443456623478414,7.178424265364101e-05,0.1660599952663547,0.00315098,0.125,0.12389610389610373,-5.59546297857988,0.01567940630797789,0.11054379892259526
165000,0.00325098,0.16240089,0.15337326059740236,0.14032820166120677,43.222070250575946,0.022072688338793223,0.021767708375877104,7.39448009036088e-05,0.17105806001565432,,,,,,
170000,0.00335098,0.178718716,0.1668464689264067,0.1448195986454559,45.64970204117768,0.033899117354544095,0.021714091860475335,7.611889091542641e-05,0.17608742807366992,0.00335098,0.123,0.12254545454545436,-5.578484286276556,0.016796801034463533,0.11842171569671114
175000,0.00345098,0.167253427,0.16681420087445864,0.14966560289847775,48.14958399841133,0.017587824101522265,0.021962389886642175,7.830271500278229e-05,0.1811393141729443,,,,,,
180000,0.00355098,0.153764762,0.15662816579653657,0.15405980745173076,49.73179422756949,-0.0002950454517307577,0.022610389693658976,8.053135398179734e-05,0.18629487150174873,0.00355098,0.122,0.12176623376623358,-5.64457187833815,0.017919106650925005,0.12633425549311217
185000,0.00365098,0.145913552,0.14630842593939372,0.15769062280288065,49.55934048250937,-0.011777070802880651,0.022985678930636477,8.281115741301211e-05,0.1915687886317575,,,,,,
190000,0.00375098,0.137600816,0.14193585760173139,0.16209286582373697,47.94449879802043,-0.024492049823736983,0.02259638109696598,8.509026041439224e-05,0.1968410854427279,0.00375098,0.12,0.12139393939393922,-5.720160791589335,0.019055579917917755,0.13434668082604262
195000,0.00385098,0.140654349,0.15055829061471837,0.16712752286976898,46.02962122952435,-0.026473173869768968,0.022810649157711128,8.73606119271261e-05,0.20209313725132105,,,,,,
200000,0.00395098,0.166396985,0.16958848277489152,0.17275185285733427,45.14084758710374,-0.006354867857334273,0.02327122647496038,8.966470570875966e-05,0.20742324575880283,0.00395098,0.119,0.11947619047619029,-5.780991735537167,0.020205695170630405,0.14245528562500032
205000,0.00405098,0.189285656,0.18956454703463177,0.17839080508474417,45.97568103833256,0.010894850915255827,0.022377876928891243,9.194716087895224e-05,0.2127032972122484,,,,,,
210000,0.00415098,0.215747331,0.20431722332034605,0.183203884762959,48.20173242548185,0.032543446237040974,0.0217874713312597,9.41554282919598e-05,0.2178117285698129,0.00415098,0.121,0.11819913419913403,-5.7725586102209725,0.021361050205206223,0.1506008322176269
215000,0.00425098,0.22233996,0.20811357620346288,0.18804035728366267,50.67110497184401,0.034299602716337335,0.021886426406629904,9.633912317885426e-05,0.222863315786948,,,,,,
220000,0.00435098,0.198395703,0.19881340893939364,0.19298419518902535,52.28878177747516,0.005411507810974658,0.02211405753425079,9.85391473758983e-05,0.22795267794000082,0.00435098,0.117,0.11722943722943706,-5.779232023387857,0.022516229268567105,0.15874513816847038
225000,0.00445098,0.181465768,0.18680016184415557,0.19726032474192934,52.344149759286495,-0.01579455674192934,0.02176615361391949,0.00010073315793330681,0.23302812861425976,,,,,,
230000,0.00455098,0.17174174,0.17983081115584387,0.20164110800529186,50.77891403276408,-0.02989936800529186,0.02168674404001562,0.00010290580281600355,0.23805415362474708,0.00455098,0.113,0.11626406926406911,-5.837552707033261,0.023677907741609213,0.16693526660919678
235000,0.00465098,0.17366913,0.1859826461731599,0.20669274445208308,48.72713609462711,-0.03302361445208307,0.02180419292910077,0.00010508034966445938,0.24308457849254675,,,,,,
240000,0.00475098,0.204002972,0.2052153670259737,0.21214100432834326,47.39098679112546,-0.008138032328343259,0.02232540924952435,0.00010728682977339064,0.24818887524207645,0.00475098,0.116,0.1147705627705626,-5.921054702872889,0.02485376848259983,0.17522538364295864
245000,0.00485098,0.232805944,0.2265831932337659,0.21816005253795137,47.551626706587584,0.014645891462048616,0.022629432015476774,0.0001095345718366407,0.2533886241366113,,,,,,
250000,0.00495098,0.252572705,0.24321667530302996,0.22390543430626625,49.39316193262113,0.02866727069373376,0.022268379630121737,0.00011177946241892061,0.2585817766403659,0.00495098,0.115,0.113168831168831,-5.942317422836957,0.02604010569517081,0.18358936246364344
255000,0.00505098,0.255986532,0.24865772458441524,0.2287670604386894,51.8674748528312,0.027219471561310576,0.0222843934337473,0.00011400710107211407,0.26373501989445064,,,,,,
260000,0.00515098,0.242255493,0.2414039887575754,0.23343972232555216,53.724391651986544,0.008815770674447831,0.022646500574769475,0.00011625364577253991,0.2689319989044318,0.00515098,0.112,0.1123593073593072,-5.990164164839511,0.02723335385393846,0.19200206521122465
265000,0.00525098,0.228174789,0.22967686229004297,0.2379268977703362,54.103002650013984,-0.00975210877033622,0.022474364114817718,0.00011850968900701926,0.27415095107261117,,,,,,
270000,0.00535098,0.216040465,0.22321450725541092,0.24245139163621196,52.70277148673362,-0.026410926636211973,0.021767614770399464,0.00012072178795128012,0.27926824599184696,0.00535098,0.11,0.11147619047619031,-6.086925844718045,0.028441062854894214,0.20051672057102182
