Time,Px_mean,Py_mean,Pz_mean,Px_min,Px_max,Px_std,Px_var,Py_min,Py_max,Py_std,Py_var,Pz_min,Pz_max,Pz_std,Pz_var,absPx_mean,absPy_mean,absPz_mean,absP_mean,qdiff_absmax,strain,stress_raw,stress_sm,stress_trend,delta_sigma_serr,delta_sigma_serr_sm,S_rms,A_sigma,A_sigma_norm,onset_sigma,W_tot,W_serr,phi_serr,align_method,P_parallel,O_parallel,Pmag_mean,Pvec_norm,chi_parallel,chi_vec,eta_perp,P_parallel_sm,O_parallel_sm,chi_parallel_sm,chi_vec_sm,eta_perp_sm,P_parallel_abs_sm,O_parallel_rel,chi_parallel_rel,dataset
290000.0,-0.047,0.0151,-0.00425,-0.187,0.183,0.138,0.0192,-0.142,0.139,0.103,0.0105,-0.191,0.199,0.156,0.0244,0.145,0.102,0.155,0.237,0.0,0.00575098,0.387751882505623,0.38679073180791523,0.3857630905664837,0.001988791939139256,0.0022303567091802516,0.005144660943465692,2.4145697957523913e-05,0.13393513220916245,0.00445098,0.001072259470253053,9.160799156794651e-06,0.008543453717067852,time,0.0151,0.102,0.237,0.04954868817637859,0.14803921568482314,0.20906619483615835,0.7462686567145614,0.01642121212121217,0.10217202797202829,0.16061790881351987,0.2071192289222346,0.7462342681393682,0.01642121212121217,0.783032316838419,0.8671263324172498,Single
300000.0,-0.046,0.0155,-0.00458,-0.19,0.185,0.138,0.0191,-0.139,0.141,0.102,0.0103,-0.196,0.2,0.158,0.0249,0.144,0.101,0.157,0.238,0.0,0.0059509799999999,0.405312441946444,0.39927632537937663,0.40257481569350567,0.00273762625293833,-0.00016475202364753987,0.0051826829353956395,2.5186327913173322e-05,0.13970746113234803,0.00445098,0.0011511209295586562,9.359453062169774e-06,0.008130729640853825,time,0.0155,0.101,0.238,0.04875680875529078,0.15346534653313398,0.20486054098775597,0.74875621890361,0.016459673659673713,0.10136596736596767,0.16235261566024134,0.20759795481040463,0.7480749012179378,0.016459673659673713,0.7768547796356866,0.8764914772938593,Single
310000.0,-0.0459,0.0163,-0.00327,-0.187,0.189,0.139,0.0193,-0.146,0.144,0.0997,0.00994,-0.202,0.203,0.158,0.025,0.145,0.0996,0.157,0.237,0.0,0.00615098,0.417055117388502,0.41672641896421714,0.4194281729809736,-0.00237305559247164,-0.003261427019501049,0.005078101589782322,2.6219453750876087e-05,0.1454381650409631,0.00445098,0.0012327373821013226,9.962880644478692e-06,0.008081916545352083,time,0.0163,0.0996,0.237,0.04881795673724987,0.16365461847225246,0.20598293981875057,0.7519920318706376,0.016795104895104947,0.10055617715617746,0.16712269100366997,0.2083061774076579,0.7500401706182841,0.016795104895104947,0.7706486592648675,0.9022436363678733,Single
320000.0,-0.047,0.0196,-0.0044,-0.193,0.188,0.139,0.0192,-0.14,0.144,0.101,0.0101,-0.201,0.195,0.157,0.0246,0.145,0.101,0.156,0.238,0.0,0.0063509799999999,0.445923203042963,0.43739614566034657,0.436151217274781,0.009771985768182001,0.0025686601900993923,0.005200939335568032,2.7258522843633638e-05,0.15120183592584518,0.00445098,0.0013182023971513666,1.0471375066815508e-05,0.00794367776105106,time,0.0196,0.101,0.238,0.05111281639667296,0.19405940593867266,0.2147597327582277,0.74875621890361,0.017492307692307744,0.09991095571095603,0.1751877175793164,0.2104231887227886,0.7514793237724199,0.017492307692307744,0.7657037711858731,0.9457842164130748,Single
330000.0,-0.0468,0.0182,-0.00495,-0.189,0.188,0.138,0.0191,-0.14,0.139,0.0991,0.00982,-0.193,0.197,0.158,0.0251,0.145,0.0994,0.158,0.237,0.0,0.00655098,0.460330984302572,0.45854678821562467,0.45300745798298525,0.007323526319586771,0.006789323411712595,0.004796960602767381,2.8273906796010004e-05,0.15683412637128305,0.00445098,0.0014078417835094068,1.143586876353515e-05,0.008122978659596474,time,0.0182,0.0994,0.237,0.05045772983399075,0.18309859154745373,0.2129018136446323,0.7529821073539936,0.01820885780885786,0.09903496503496534,0.18385200840770333,0.21191740244101837,0.7534875327788361,0.01820885780885786,0.7589902995815154,0.9925600385148202,Single
340000.0,-0.0463,0.0185,-0.00445,-0.188,0.186,0.139,0.0194,-0.135,0.145,0.0978,0.00957,-0.196,0.203,0.159,0.0252,0.146,0.0982,0.158,0.238,0.0,0.0067509799999999,0.473826676779812,0.473047522774764,0.46878658089549385,0.005040095884318141,0.004842659027509632,0.004543019967611684,2.9195723998621916e-05,0.161947406141522,0.00445098,0.0015011796363183663,1.2482423039012905e-05,0.008315076182105674,time,0.0185,0.0982,0.238,0.05005739206151275,0.18839103869461923,0.21032517672816145,0.7558428642447642,0.018543822843822902,0.09806713286713317,0.18892548736971015,0.2122464069656981,0.755911272759838,0.018543822843822902,0.7515729674630236,1.019950179735179,Single
350000.0,-0.0474,0.019,-0.00434,-0.196,0.183,0.14,0.0196,-0.133,0.136,0.0963,0.00927,-0.195,0.201,0.159,0.0253,0.147,0.0968,0.158,0.238,0.0,0.00695098,0.486032101193605,0.48745219629241776,0.48382017065746064,0.0022119305361443797,0.0031534111876886147,0.004789373218178249,3.0116126054275373e-05,0.16705283615337707,0.00445098,0.0015972021858591807,1.327941368728891e-05,0.008314171997044654,time,0.019,0.0968,0.238,0.051250322925811886,0.1962809917335095,0.2153374912840191,0.7590841214515702,0.01872284382284388,0.09689044289044318,0.1931230806189564,0.21338109594918947,0.7586909108049169,0.01872284382284388,0.742554977931678,1.042611685329952,Single
360000.0,-0.0469,0.0183,-0.00401,-0.188,0.182,0.141,0.0199,-0.142,0.14,0.0952,0.00905,-0.198,0.196,0.158,0.0251,0.147,0.0954,0.158,0.237,0.0,0.0071509799999999,0.499938122455605,0.5012795724738645,0.498984338474129,0.0009537839814759974,0.0020447843110864995,0.004795464514599768,3.1070913580853836e-05,0.1723490008709556,0.00445098,0.00169610219515262,1.3853338862267737e-05,0.008167750093042698,time,0.0183,0.0954,0.237,0.05050326821107719,0.19182389936905844,0.21309395869562908,0.7617382617363594,0.018707925407925464,0.09555920745920775,0.19580330922948813,0.21346437745371488,0.7617484356303201,0.018707925407925464,0.7323525733727408,1.0570814092994534,Single
370000.0,-0.0465,0.0178,-0.00394,-0.187,0.187,0.14,0.0197,-0.134,0.137,0.0938,0.00879,-0.198,0.203,0.16,0.0256,0.147,0.0938,0.159,0.237,0.0,0.00735098,0.512635665579471,0.5160503377981145,0.5147444035348174,-0.0021087379553463848,0.0014922673679834241,0.004545378123326202,3.203685051419805e-05,0.1777070108610067,0.00445098,0.0017978003348665904,1.423561569980154e-05,0.007918351901329423,time,0.0178,0.0938,0.237,0.04994610695539744,0.18976545842015174,0.21074306732146286,0.7653826913437585,0.018307692307692365,0.09398391608391637,0.1948598074105845,0.2128852045356425,0.765293679868967,0.018307692307692365,0.720279757752132,1.0519877352633609,Single
380000.0,-0.0473,0.0182,-0.00416,-0.193,0.183,0.141,0.02,-0.139,0.147,0.0926,0.00857,-0.202,0.2,0.16,0.0257,0.148,0.0928,0.16,0.238,0.0,0.0075509799999999,0.530635871730998,0.5314051650493533,0.5303466608887213,0.00028921084227673255,-0.00033982320180248575,0.0056148572443809565,3.3053141078635885e-05,0.18334433024396085,0.00445098,0.0019025264162903966,1.4407717032019588e-05,0.0075729392815013785,time,0.0182,0.0928,0.238,0.050851112082234744,0.19612068965305907,0.21366013479840792,0.7684630738503782,0.018236363636363693,0.0927146853146856,0.19656589388376666,0.213199955780119,0.7681220782761745,0.018236363636363693,0.7105525483626358,1.0611983676094383,Single
