dataset,Time,section,strain,P_parallel,Pabs_parallel_mean,Pmag_mean,chi_parallel,P_parallel_sm,dP_parallel_de,A_P_parallel,A_P_parallel_norm,onset_P_parallel,chi_parallel_sm,dchi_parallel_de,A_chi_parallel,A_chi_parallel_norm,onset_chi_parallel,H_sec_quick,H_sec_chi_quick,P_env_min,P_env_max,chi_env_min,chi_env_max,H_sec_quick_sm,dH_sec_quick_de,A_H_sec_quick,A_H_sec_quick_norm,onset_H_sec_quick,H_sec_chi_quick_sm,dH_sec_chi_quick_de,A_H_sec_chi_quick,A_H_sec_chi_quick_norm,onset_H_sec_chi_quick
Twin,330000.0,yz,0.00655098,0.10376,0.10376,0.2567192,0.9999999999903623,0.102490816147186,-6.860709446505849,0.03770698993595233,0.2639841513792581,0.00275098,0.9999999999902376,-6.549751045192901e-10,2.6480376076907096e-12,3.034137093968153e-12,0.01335098,0.024538828799366367,2.383648833890889e-13,0.101908,0.1044446,0.9999999999901872,0.9999999999904255,0.017820633089334757,2.361304159366213,0.006751038097136568,0.00332138257500512,0.01275098,1.7562382524846925e-13,3.7799760885603544e-11,9.4084454519709e-14,6.391842772811258e-14,0.01295098
Twin,340000.0,yz,0.00675098,0.1029867,0.1029867,0.2592096,0.99999999999029,0.10096924207792193,-6.928956404115372,0.03908595652101446,0.2736382055574436,0.00275098,0.9999999999900906,-6.810817579678005e-10,2.781643293939419e-12,3.1872232765189363e-12,0.01335098,0.01251528669422437,1.2057022047533615e-13,0.1029867,0.1042823,0.99999999999029,0.9999999999904106,0.021785940916679652,2.7609469004091176,0.007263263203114103,0.003573387602527559,0.01275098,2.1678282065268827e-13,4.320433805439649e-11,1.0218486441370903e-13,6.942162660428043e-14,0.01295098
Twin,350000.0,yz,0.00695098,0.09789072,0.09789072,0.2573725,0.9999999999897845,0.10034159203463189,-7.041068222578269,0.04048295898368382,0.2834185277260631,0.00275098,0.99999999999003,-7.153076243988564e-10,2.9212822321760846e-12,3.3472223947473515e-12,0.01335098,0.03160744041093115,3.206324095146887e-13,0.09687312,0.09997847,0.9999999999896771,0.9999999999899978,0.021664669470426064,3.0399990228843055,0.007843357795443444,0.003858783128829593,0.01275098,2.158826268322842e-13,4.7457371703681866e-11,1.1125103538951685e-13,7.558093737720403e-14,0.01295098
Twin,360000.0,yz,0.00715098,0.09737142,0.09737142,0.2553244,0.99999999998973,0.0992782803463202,-7.220828494124881,0.04190914865535414,0.29340318762125084,0.00275098,0.9999999999899271,-7.590651159733177e-10,3.0687195062133025e-12,3.5161568920863034e-12,0.01335098,0.022149450846498945,2.2537527400096678e-13,0.09737142,0.09955592,0.99999999998973,0.9999999999899554,0.018313699476164375,2.8076387318771863,0.008428121570919595,0.004146475804595188,0.01275098,1.8222652824088312e-13,4.651020858964745e-11,1.206477934188498e-13,8.196484003192644e-14,0.01295098
Twin,370000.0,yz,0.00735098,0.09959313,0.09959313,0.2576862,0.9999999999899591,0.09743878757575743,-7.3037202018327925,0.0433616035249499,0.30357172843604885,0.00275098,0.999999999989733,-7.925612447251741e-10,3.2238821422831515e-12,3.6939431547625236e-12,0.01335098,0.01849151100134181,1.859623566263968e-13,0.09853547,0.1003754,0.9999999999898513,0.9999999999900373,0.016961306477977375,2.3404345057365425,0.008942928894680967,0.004399751234243745,0.01275098,1.748029330727594e-13,4.164669271658051e-11,1.294634835494726e-13,8.795398090928155e-14,0.01295098
Twin,380000.0,yz,0.00755098,0.09826106,0.09826106,0.2596359,0.9999999999898229,0.09587641930735916,-7.22906272108846,0.044814881817242025,0.31374603397887457,0.00275098,0.9999999999895622,-8.063337678658186e-10,3.3837716435422506e-12,3.877145487424773e-12,0.01335098,0.0038472736572229965,3.919087276962678e-14,0.09826106,0.09863995,0.9999999999898229,0.9999999999898621,0.019797555943073718,1.9081248635217647,0.009367784831606798,0.004608772289300663,0.01275098,2.0841577622169133e-13,3.674096377601466e-11,1.3730224919873208e-13,9.32794257788678e-14,0.01295098
Twin,390000.0,yz,0.00775098,0.09403961,0.09403961,0.2583662,0.9999999999893662,0.09557888155844142,-7.222452050373765,0.04626003329438825,0.32386344422447955,0.00275098,0.9999999999895304,-8.277761541675319e-10,3.547182635745586e-12,4.064382765160667e-12,0.01335098,0.016460924990899094,1.7674750552203691e-13,0.09258784,0.09412834,0.9999999999891994,0.9999999999893762,0.019059990685523463,1.528713224120084,0.009711468640370983,0.004777858198358844,0.01275098,2.0319820862195465e-13,3.243026868692552e-11,1.4421937244502613e-13,9.797873178602623e-14,0.01295098
Twin,400000.0,yz,0.00795098,0.09131,0.09131,0.2552997,0.9999999999890482,0.09446747116883103,-7.256137000056202,0.047707892199431244,0.3339998089943508,0.00275098,0.9999999999894152,-8.576982776253138e-10,3.71573007892487e-12,4.257505418690401e-12,0.01335098,0.03619986131492424,3.9812597663455265e-13,0.0893941,0.09269308,0.9999999999888135,0.9999999999892116,0.021425435483665423,1.5488581678370235,0.010019225779566694,0.004929268868058904,0.01275098,2.2911446669877876e-13,3.337127117736349e-11,1.50799526431455e-13,1.0244911001342298e-13,0.01295098
Twin,410000.0,yz,0.00815098,0.09325073,0.09325073,0.2572137,0.9999999999892761,0.09230990090909078,-7.25596919070109,0.04915910281850698,0.3441596388932631,0.00275098,0.9999999999891654,-8.836598085763247e-10,3.889865887545035e-12,4.457031254270713e-12,0.01335098,0.029434447327625655,3.1108449150294563e-13,0.09325073,0.09603613,0.9999999999892761,0.9999999999895872,0.023952092238703836,1.7150760775029588,0.010345619204100693,0.005089848236334619,0.01275098,2.593634782678818e-13,3.6812422640953056e-11,1.5781789581328667e-13,1.0721719990023666e-13,0.01295098
Twin,420000.0,yz,0.00835098,0.09418822,0.09418822,0.2600332,0.9999999999893829,0.09019469857142845,-7.194674120987178,0.0506041671496758,0.35427643903562384,0.00275098,0.9999999999888984,-8.990547747033528e-10,4.068137345873001e-12,4.661295741654783e-12,0.01335098,0.019455897550653203,2.0872192863155755e-13,0.09237264,0.09418822,0.9999999999891742,0.9999999999893829,0.030800090074823844,1.5151878558667964,0.010668645597437666,0.005248771089184648,0.01275098,3.4040206920994087e-13,3.5472771001520214e-11,1.6504641517753395e-13,1.1212805998784139e-13,0.01295098
