TimeStep,simtime,s1,s2,s3,p1,p2,p3,Px,Py,Pz,Px_mean,Py_mean,Pz_mean,Px_min,Px_max,Px_std,Px_var,Py_min,Py_max,Py_std,Py_var,Pz_min,Pz_max,Pz_std,Pz_var,absPx_mean,absPy_mean,absPz_mean,absP_mean,qdiff_absmax,strain_y,stress_y,M2y,M2y_sqrt,m_y,progress_M2y,stress_smooth,delta_sigma_serr,S_rms,H_M2_sections,E_t,stress_pred_M2,resid_M2
1570000,78.3775,0.003574856,-0.00864902,0.003677571,-0.002088962,-0.859364805,-0.003585308,-17.96223016,-2.913611782,-13.77028958,-0.04658381,0.1031839,-0.004073857,-0.1934674,0.1819735,0.1402659,0.01967453,0.07016861,0.1358091,0.009661251,9.333977e-05,-0.2013064,0.2034235,0.1596287,0.02548133,0.1466279,0.1031839,0.1587602,0.2406264,0.0,0.00864902,0.859364805,0.01074025698921,0.10363521114568157,0.6237020036677166,0.37629799633228345,0.8563862042727273,0.00297860072727274,0.0029890645653449497,0.015121048481969605,,1.0013581109618757,-0.14199330596187565
1580000,78.8775,0.003548852,-0.00844902,0.003524985,-0.00095296,-0.844873423,-0.004529116,-17.96419984,-2.795158476,-13.75935038,-0.04596718,0.1044526,-0.004251195,-0.1879451,0.1875465,0.1385997,0.01920988,0.07104862,0.1436418,0.009439231,8.909909e-05,-0.1964363,0.199107,0.1593738,0.02540001,0.1448365,0.1044526,0.1585056,0.2398936,0.0,0.00844902,0.844873423,0.01099944473676,0.10487823766997613,0.6387534049177482,0.36124659508225176,0.8430746779090911,0.0017987450909089375,0.0025844276818116703,0.015431522718469847,,0.9922025444978038,-0.14732912149780375
1590000,79.3775,0.00341674,-0.00824902,0.00347742,-0.00099263,-0.833029509,-0.003501098,-17.93119924,-2.661633253,-13.75617189,-0.04645449,0.1056857,-0.004187806,-0.1910152,0.1893412,0.1394741,0.01945302,0.06869744,0.1339134,0.009823173,9.649473e-05,-0.1919967,0.1975609,0.15868,0.02517934,0.1458364,0.1056857,0.1577887,0.2406065,0.0,0.00824902,0.833029509,0.011265961914489999,0.10614123569324976,0.6542304366060088,0.34576956339399123,0.8292998101818182,0.003729698818181748,0.0026236741278918073,0.020332333400602826,,0.9839853826881317,-0.1509558736881318
1600000,79.8775,0.003287244,-0.00804902,0.003409173,-0.00154907,-0.813312099,-0.002655416,-17.91800299,-2.582658123,-13.7640428,-0.04550683,0.1065092,-0.003672505,-0.1936824,0.1850594,0.1395448,0.01947274,0.07066559,0.1353814,0.009600669,9.217285e-05,-0.1935175,0.1937885,0.1585169,0.02512761,0.1456532,0.1065092,0.1576705,0.2407171,0.0,0.00804902,0.813312099,0.01143638253464,0.1069410236281662,0.6641270044777678,0.33587299552223215,0.8156881676363638,-0.0023760686363637484,0.0025348400697813613,0.005849758240957066,,0.9634647464349793,-0.15015264743497925
1610000,80.3775,0.003285933,-0.00784902,0.003243581,-0.000992748,-0.801935186,-0.003018011,-17.90478081,-2.444554202,-13.75723529,-0.04626964,0.1075989,-0.004402217,-0.1893194,0.1839152,0.1385479,0.01919552,0.07354297,0.138189,0.009390201,8.817587e-05,-0.1922798,0.1972493,0.1585347,0.02513327,0.1449207,0.1075989,0.1576719,0.2407842,0.0,0.00784902,0.801935186,0.01166569915121,0.1080078661543223,0.6774437466537415,0.3225562533462585,0.8018019295454546,0.00013325645454542734,0.002302105425093625,0.018554367875289655,,0.9504847069006372,-0.14854952090063722
1620000,80.8775,0.003196197,-0.00764902,0.003153697,-0.000451923,-0.788403621,-0.003792603,-17.90237763,-2.329030714,-13.75322715,-0.04625056,0.1095162,-0.003626154,-0.1880522,0.1786492,0.1378473,0.01900189,0.07781607,0.1377908,0.009455069,8.939833e-05,-0.1953107,0.1964044,0.1578418,0.02491403,0.144178,0.1095162,0.1569437,0.2407718,0.0,0.00764902,0.788403621,0.01208319639244,0.10992359342943625,0.701688405430761,0.29831159456923895,0.788490272818182,-8.665181818190426e-05,0.001984773011093798,0.02509899561744592,,0.9615978874000655,-0.1731942664000654
1630000,81.3775,0.003063995,-0.00744902,0.003108267,-0.000569753,-0.77432154,-0.002740915,-17.88970855,-2.214960623,-13.74169524,-0.04568141,0.1105563,-0.004052561,-0.1920115,0.1888226,0.1374191,0.018884,0.07290223,0.1424372,0.009652919,9.317884e-05,-0.1954432,0.1930107,0.1575113,0.02480982,0.1436298,0.1105563,0.1566565,0.2407027,0.0,0.00744902,0.77432154,0.012315874309689999,0.11097690890311371,0.715200343119389,0.28479965688061104,0.7745002513636364,-0.00017871136363645235,0.0019051681317226678,0.0135978420909352,,0.9490482033129398,-0.17472666331293984
1640000,81.8775,0.002968244,-0.00724902,0.003001215,-0.000688619,-0.759235535,-0.00333151,-17.85933392,-2.115402194,-13.75220659,-0.04564973,0.111213,-0.00403106,-0.1828022,0.1792127,0.1377508,0.01897529,0.07911978,0.1420738,0.00944003,8.911417e-05,-0.1931903,0.1928055,0.1565099,0.02449535,0.1440235,0.111213,0.1556753,0.2405446,0.0,0.00724902,0.759235535,0.012457445539000002,0.11161292729339196,0.7234215858206631,0.27657841417933693,0.7609204948181818,-0.0016849598181818415,0.001842831808957866,0.01756893496399599,,0.9248339098482427,-0.1655983748482427
1650000,82.3775,0.00290434,-0.00704902,0.002906882,-0.000829502,-0.745003731,-0.004375148,-17.86416238,-2.001177185,-13.74318227,-0.0456072,0.1129057,-0.003909667,-0.189231,0.1784175,0.1367214,0.01869274,0.0769046,0.1423688,0.009307376,8.662725e-05,-0.1986945,0.2001283,0.1575314,0.02481616,0.142934,0.1129057,0.1566468,0.2413713,0.0,0.00704902,0.745003731,0.01283432434249,0.11328867702683265,0.7453074741297372,0.2546925258702628,0.7473869358181818,-0.0023832048181818832,0.0016431114772380753,0.022544667842926375,,0.9307466136266159,-0.18574288262661598
1660000,82.8775,0.002788255,-0.00684902,0.002832818,-0.001087055,-0.734442846,-0.00229947,-17.84180299,-1.873031012,-13.73896285,-0.04509248,0.1138956,-0.004129716,-0.1830062,0.1777027,0.1364687,0.0186237,0.0809511,0.1489179,0.009290561,8.631453e-05,-0.194317,0.2002075,0.1567914,0.02458355,0.1426171,0.1138956,0.1558817,0.2411287,0.0,0.00684902,0.734442846,0.01305852222936,0.11427389128475497,0.7583269643895482,0.24167303561045184,0.7342941300000001,0.00014871599999988216,0.0014848316200147414,0.016467496958678798,,0.9171112107615471,-0.18266836476154713
